metric,dataset,value
RMSE,train,1.8393655753873817
RMSE,train,1.8382661002230705
RMSE,train,1.83262277225756
RMSE,train,1.836685960125254
RMSE,train,1.8329191193685257
RMSE,train,1.826723632836204
RMSE,train,1.8423191248883444
RMSE,train,1.821327792848331
RMSE,train,1.8241162153207569
RMSE,train,1.8287268480495584
RMSE,test,1.98568377209031
RMSE,test,1.9980312605898176
RMSE,test,2.0981263245117345
RMSE,test,2.005644399572701
RMSE,test,1.891678905625597
RMSE,test,2.0269269425566776
RMSE,test,1.9696639088513574
RMSE,test,2.0576098501412665
RMSE,test,2.0557312535812073
RMSE,test,1.9960762145997506
R2,train,0.6882640468956205
R2,train,0.6878684341385779
R2,train,0.688402677773379
R2,train,0.6887569876768169
R2,train,0.6901658693854251
R2,train,0.6922246077630285
R2,train,0.6873562593683293
R2,train,0.6928551721413285
R2,train,0.6920293297970106
R2,train,0.6914560582842664
R2,test,0.6280888929733329
R2,test,0.631875255111584
R2,test,0.609603302838831
R2,test,0.6252629827931211
R2,test,0.6652481334450873
R2,test,0.6159004018104086
R2,test,0.6330365687327828
R2,test,0.6178619091366746
R2,test,0.6171742710570155
R2,test,0.6285121257333981
MAE,train,1.3952517403515616
MAE,train,1.3990717032842162
MAE,train,1.3935662337732393
MAE,train,1.3970725536239086
MAE,train,1.3916601674405513
MAE,train,1.3922437208549445
MAE,train,1.3984433210069545
MAE,train,1.3825794816100005
MAE,train,1.3861052225310908
MAE,train,1.3900942134336804
MAE,test,1.5308027274890053
MAE,test,1.506068496991901
MAE,test,1.5722533519765953
MAE,test,1.516456121157866
MAE,test,1.4293515197632112
MAE,test,1.542695093762387
MAE,test,1.5040075461675522
MAE,test,1.5575787103722623
MAE,test,1.5433226468063554
MAE,test,1.5020609615039169
Fit_time,train,2.0470643043518066
Fit_time,train,1.897864818572998
Fit_time,train,1.8221991062164307
Fit_time,train,1.8149373531341553
Fit_time,train,1.899493932723999
Fit_time,train,1.8827428817749023
Fit_time,train,1.862586498260498
Fit_time,train,1.8230712413787842
Fit_time,train,1.9146921634674072
Fit_time,train,1.9423534870147705
Fit_time,test,0.007869720458984375
Fit_time,test,0.007000446319580078
Fit_time,test,0.0069997310638427734
Fit_time,test,0.007999658584594727
Fit_time,test,0.009612798690795898
Fit_time,test,0.007695913314819336
Fit_time,test,0.008960247039794922
Fit_time,test,0.010820865631103516
Fit_time,test,0.007999420166015625
Fit_time,test,0.006999969482421875
