metric,dataset,value
RMSE,train,1.4524405723666334
RMSE,train,1.4430810972386123
RMSE,train,1.4484872951404681
RMSE,train,1.4556220145418075
RMSE,train,1.4413128747649682
RMSE,train,1.4431202526518334
RMSE,train,1.4461800111075307
RMSE,train,1.4320556538651743
RMSE,train,1.4396802704888128
RMSE,train,1.438727642452349
RMSE,test,1.6594592976395839
RMSE,test,1.6676290197373314
RMSE,test,1.6472807527335516
RMSE,test,1.6722589925283826
RMSE,test,1.6698283565279675
RMSE,test,1.7177206251430615
RMSE,test,1.6677993581195827
RMSE,test,1.7226794321312544
RMSE,test,1.6958300947428653
RMSE,test,1.6733321497762277
R2,train,0.805726945400238
R2,train,0.8070105314254761
R2,train,0.8059584498405457
R2,train,0.80437171459198
R2,train,0.8081432580947876
R2,train,0.8070329427719116
R2,train,0.8070319294929504
R2,train,0.8102587461471558
R2,train,0.8080516457557678
R2,train,0.8088330626487732
R2,test,0.7365732789039612
R2,test,0.7487624883651733
R2,test,0.7503857016563416
R2,test,0.738825798034668
R2,test,0.740205705165863
R2,test,0.7330542802810669
R2,test,0.7386189699172974
R2,test,0.7280148863792419
R2,test,0.7384380102157593
R2,test,0.7390668988227844
MAE,train,1.0750095844268799
MAE,train,1.0696738958358765
MAE,train,1.0737950801849365
MAE,train,1.0772610902786255
MAE,train,1.0720576047897339
MAE,train,1.0728768110275269
MAE,train,1.074633002281189
MAE,train,1.061255693435669
MAE,train,1.0676718950271606
MAE,train,1.0669400691986084
MAE,test,1.2285279035568237
MAE,test,1.2228950262069702
MAE,test,1.2326185703277588
MAE,test,1.2380272150039673
MAE,test,1.1923556327819824
MAE,test,1.2630385160446167
MAE,test,1.1940997838974
MAE,test,1.2691727876663208
MAE,test,1.2360374927520752
MAE,test,1.2395755052566528
Fit_time,train,72.29919362068176
Fit_time,train,68.75772356987
Fit_time,train,68.63940596580505
Fit_time,train,67.03522777557373
Fit_time,train,68.95359086990356
Fit_time,train,68.25685453414917
Fit_time,train,66.62244057655334
Fit_time,train,66.12890458106995
Fit_time,train,68.70367860794067
Fit_time,train,67.59645080566406
Fit_time,test,0.01651310920715332
Fit_time,test,0.017000198364257812
Fit_time,test,0.021999835968017578
Fit_time,test,0.015999794006347656
Fit_time,test,0.017511606216430664
Fit_time,test,0.015512228012084961
Fit_time,test,0.021000146865844727
Fit_time,test,0.01751232147216797
Fit_time,test,0.016000032424926758
Fit_time,test,0.016000032424926758
