metric,dataset,value
RMSE,train,1.6840539997938908
RMSE,train,1.6793315421565973
RMSE,train,1.679801546705106
RMSE,train,1.6805521314321616
RMSE,train,1.6738565413601243
RMSE,train,1.6845403784704562
RMSE,train,1.6788102098973883
RMSE,train,1.6824093079745268
RMSE,train,1.686086486512299
RMSE,train,1.6776397287586144
RMSE,test,1.8920382427439502
RMSE,test,1.8496152400373946
RMSE,test,1.8465461864257595
RMSE,test,1.8927925862308201
RMSE,test,1.8536527400054696
RMSE,test,1.816778723150963
RMSE,test,1.8687137128183824
RMSE,test,1.8552418780913056
RMSE,test,1.9562988738271008
RMSE,test,1.879999552483201
R2,train,0.6816757917404175
R2,train,0.6831192374229431
R2,train,0.6840605735778809
R2,train,0.6829608678817749
R2,train,0.6856876611709595
R2,train,0.6820483207702637
R2,train,0.6836007833480835
R2,train,0.6826153993606567
R2,train,0.6794037818908691
R2,train,0.6839464902877808
R2,test,0.597864031791687
R2,test,0.6193937063217163
R2,test,0.6082956194877625
R2,test,0.5977611541748047
R2,test,0.6121740341186523
R2,test,0.6231651306152344
R2,test,0.6083573698997498
R2,test,0.6095931529998779
R2,test,0.5875125527381897
R2,test,0.604080080986023
MAE,train,1.2503408193588257
MAE,train,1.2482452392578125
MAE,train,1.2475484609603882
MAE,train,1.2475624084472656
MAE,train,1.2447644472122192
MAE,train,1.2522027492523193
MAE,train,1.2498154640197754
MAE,train,1.2485116720199585
MAE,train,1.253562569618225
MAE,train,1.2460209131240845
MAE,test,1.4008349180221558
MAE,test,1.3643878698349
MAE,test,1.3671722412109375
MAE,test,1.4018057584762573
MAE,test,1.3774853944778442
MAE,test,1.3649533987045288
MAE,test,1.3575670719146729
MAE,test,1.3695321083068848
MAE,test,1.4333114624023438
MAE,test,1.3902578353881836
Fit_time,train,77.19983792304993
Fit_time,train,75.20931816101074
Fit_time,train,71.64980721473694
Fit_time,train,70.10227060317993
Fit_time,train,70.11550617218018
Fit_time,train,68.47161364555359
Fit_time,train,68.73181438446045
Fit_time,train,71.19780158996582
Fit_time,train,70.09117937088013
Fit_time,train,64.60442972183228
Fit_time,test,0.030512094497680664
Fit_time,test,0.02499985694885254
Fit_time,test,0.026005983352661133
Fit_time,test,0.028512954711914062
Fit_time,test,0.018999814987182617
Fit_time,test,0.025999784469604492
Fit_time,test,0.020511388778686523
Fit_time,test,0.019513607025146484
Fit_time,test,0.02351522445678711
Fit_time,test,0.018512487411499023
