metric,dataset,value
RMSE,train,2.2197720390335385
RMSE,train,2.191018009128467
RMSE,train,2.236467308506076
RMSE,train,2.2217259569485064
RMSE,train,2.225058564471886
RMSE,train,2.205772802128128
RMSE,train,2.2200492133479335
RMSE,train,2.213341414507816
RMSE,train,2.2176609363621407
RMSE,train,2.2325165502017716
RMSE,test,2.2400230880417507
RMSE,test,2.317095583518179
RMSE,test,2.2809062423239292
RMSE,test,2.238026939856873
RMSE,test,2.267281937195388
RMSE,test,2.312022106804077
RMSE,test,2.2347588435708277
RMSE,test,2.3325481819298375
RMSE,test,2.356310312394164
RMSE,test,2.2532977366863745
R2,train,0.5462333577434851
R2,train,0.5551187440772554
R2,train,0.5374162181118879
R2,train,0.5442618984630309
R2,train,0.5427608637008788
R2,train,0.5491836415777537
R2,train,0.5452570350386441
R2,train,0.5467490499562728
R2,train,0.5445479748788289
R2,train,0.5396957386457921
R2,test,0.5200105940154083
R2,test,0.5149645593494145
R2,test,0.5214260511210664
R2,test,0.5322068996985296
R2,test,0.5210425121407178
R2,test,0.5163826059451749
R2,test,0.5307029356711346
R2,test,0.5013481312022139
R2,test,0.4950191129954885
R2,test,0.5268465789984194
MAE,train,1.7059954545486529
MAE,train,1.6795914570538502
MAE,train,1.7187813980222606
MAE,train,1.707502166949743
MAE,train,1.7108611848877016
MAE,train,1.6933229955605875
MAE,train,1.7072047924083604
MAE,train,1.7007452213058722
MAE,train,1.7069275486953508
MAE,train,1.7134128808353222
MAE,test,1.7270916694240719
MAE,test,1.7680748047782326
MAE,test,1.7725920858021282
MAE,test,1.7261060785099016
MAE,test,1.7426824655392927
MAE,test,1.7813962553265854
MAE,test,1.7058120014266074
MAE,test,1.7812192109259581
MAE,test,1.792314936460166
MAE,test,1.7430458190185176
Fit_time,train,0.7493832111358643
Fit_time,train,0.7976346015930176
Fit_time,train,0.7363653182983398
Fit_time,train,0.7527573108673096
Fit_time,train,0.8051562309265137
Fit_time,train,0.744422435760498
Fit_time,train,0.8139278888702393
Fit_time,train,0.7753221988677979
Fit_time,train,0.8982861042022705
Fit_time,train,1.1012790203094482
Fit_time,test,0.006511211395263672
Fit_time,test,0.005999326705932617
Fit_time,test,0.006999492645263672
Fit_time,test,0.007999658584594727
Fit_time,test,0.0070002079010009766
Fit_time,test,0.009003162384033203
Fit_time,test,0.0070002079010009766
Fit_time,test,0.005999565124511719
Fit_time,test,0.006999969482421875
Fit_time,test,0.008002519607543945
