metric,dataset,value
RMSE,train,1.9276870352307098
RMSE,train,1.9240435760511463
RMSE,train,1.9053113814968707
RMSE,train,1.914867663308504
RMSE,train,1.928119553683827
RMSE,train,1.9172955195288515
RMSE,train,1.9345692021452985
RMSE,train,1.9171821073129691
RMSE,train,1.9117353734058644
RMSE,train,1.9296378191254904
RMSE,test,1.9672950745421371
RMSE,test,1.9650779499737212
RMSE,test,2.0997841959049093
RMSE,test,2.0006233187125395
RMSE,test,1.9148239067096278
RMSE,test,2.0088873009297528
RMSE,test,1.9793111158842636
RMSE,test,2.064648042553415
RMSE,test,2.086185779662406
RMSE,test,2.013599404065901
R2,train,0.6576078194756529
R2,train,0.6580593429227579
R2,train,0.6631942612932058
R2,train,0.661695847976446
R2,train,0.6571449331238277
R2,train,0.6609479977512027
R2,train,0.6552624772573148
R2,train,0.6596751113504988
R2,train,0.6617327892362733
R2,train,0.6564650349721322
R2,test,0.6349452659658347
R2,test,0.6439180016484116
R2,test,0.6089861014646829
R2,test,0.6271369237715332
R2,test,0.6570065335737055
R2,test,0.6227069470632323
R2,test,0.6294330687906264
R2,test,0.6152431801061291
R2,test,0.6057475485228722
R2,test,0.6219610472889627
MAE,train,1.4500017779984578
MAE,train,1.454427235479497
MAE,train,1.4383926067929156
MAE,train,1.4449276841593097
MAE,train,1.4555961929708658
MAE,train,1.4446942779335106
MAE,train,1.458073583392599
MAE,train,1.4451615059319802
MAE,train,1.4408141309609914
MAE,train,1.453574771615224
MAE,test,1.4890074008318368
MAE,test,1.4734045005708862
MAE,test,1.5777659852702057
MAE,test,1.5117189557549389
MAE,test,1.4472176094797502
MAE,test,1.5128946493075546
MAE,test,1.4844767158825307
MAE,test,1.5444292290726982
MAE,test,1.576187439138801
MAE,test,1.5124018677421343
Fit_time,train,1.172041654586792
Fit_time,train,1.2220549583435059
Fit_time,train,1.2079803943634033
Fit_time,train,1.1721370220184326
Fit_time,train,1.194227695465088
Fit_time,train,1.2203493118286133
Fit_time,train,1.250452995300293
Fit_time,train,1.2737770080566406
Fit_time,train,1.171213150024414
Fit_time,train,1.1945199966430664
Fit_time,test,0.008002042770385742
Fit_time,test,0.007005929946899414
Fit_time,test,0.007002592086791992
Fit_time,test,0.0075130462646484375
Fit_time,test,0.0070018768310546875
Fit_time,test,0.007000923156738281
Fit_time,test,0.007999897003173828
Fit_time,test,0.0070040225982666016
Fit_time,test,0.0070040225982666016
Fit_time,test,0.008826971054077148
