metric,dataset,value
RMSE,train,2.304257006768335
RMSE,train,2.319518804468601
RMSE,train,2.2988825737299137
RMSE,train,2.2345774098728626
RMSE,train,2.262163978198268
RMSE,train,2.2322263189788454
RMSE,train,2.2432883082496202
RMSE,train,2.2561910013954565
RMSE,train,2.28045232753192
RMSE,train,2.2488639930725864
RMSE,test,2.4960560206276567
RMSE,test,2.5674022210955716
RMSE,test,2.522638247494509
RMSE,test,2.4610986081626924
RMSE,test,2.4595886409115693
RMSE,test,2.465106835207021
RMSE,test,2.528878125024618
RMSE,test,2.4601467254735345
RMSE,test,2.55480742100154
RMSE,test,2.4811900134006013
R2,train,0.4040367007255554
R2,train,0.3954687714576721
R2,train,0.40827304124832153
R2,train,0.4394688606262207
R2,train,0.4259189963340759
R2,train,0.4416908621788025
R2,train,0.4350600242614746
R2,train,0.42921268939971924
R2,train,0.41353684663772583
R2,train,0.4320768713951111
R2,test,0.3001229166984558
R2,test,0.2666674256324768
R2,test,0.26894837617874146
R2,test,0.3199576735496521
R2,test,0.3171818256378174
R2,test,0.30622512102127075
R2,test,0.28276705741882324
R2,test,0.3135034441947937
R2,test,0.29651206731796265
R2,test,0.31037670373916626
MAE,train,1.7901538610458374
MAE,train,1.7993969917297363
MAE,train,1.7790833711624146
MAE,train,1.715502381324768
MAE,train,1.7528365850448608
MAE,train,1.7196836471557617
MAE,train,1.7333812713623047
MAE,train,1.7448883056640625
MAE,train,1.7712334394454956
MAE,train,1.7400012016296387
MAE,test,1.9867838621139526
MAE,test,2.045166254043579
MAE,test,1.990280032157898
MAE,test,1.9545519351959229
MAE,test,1.9424704313278198
MAE,test,1.965111255645752
MAE,test,2.0070712566375732
MAE,test,1.9541493654251099
MAE,test,2.008723020553589
MAE,test,1.9611443281173706
