metric,dataset,value
RMSE,train,2.3107816136768915
RMSE,train,2.369062732192827
RMSE,train,2.295786281687405
RMSE,train,2.3021935368967887
RMSE,train,2.306290408558384
RMSE,train,2.33902783568847
RMSE,train,2.2792584858123717
RMSE,train,2.284237303543335
RMSE,train,2.2839237377976707
RMSE,train,2.322752417900117
RMSE,test,2.8741035722454646
RMSE,test,2.9265942328953143
RMSE,test,3.0349212123441887
RMSE,test,2.7786988977563025
RMSE,test,2.863980279502957
RMSE,test,2.933207845893624
RMSE,test,2.824517325292965
RMSE,test,2.7489830217388747
RMSE,test,2.766603286047822
RMSE,test,3.0273631236779277
R2,train,0.5079960823059082
R2,train,0.481589138507843
R2,train,0.5109981894493103
R2,train,0.5109947919845581
R2,train,0.5094642639160156
R2,train,0.49538636207580566
R2,train,0.5214722156524658
R2,train,0.5168862342834473
R2,train,0.517199695110321
R2,train,0.5022340416908264
R2,test,0.22084510326385498
R2,test,0.21020299196243286
R2,test,0.18315869569778442
R2,test,0.2807137966156006
R2,test,0.2326946258544922
R2,test,0.19563478231430054
R2,test,0.24538224935531616
R2,test,0.317915141582489
R2,test,0.3066345453262329
R2,test,0.14548546075820923
MAE,train,1.7896841764450073
MAE,train,1.8483283519744873
MAE,train,1.7765384912490845
MAE,train,1.7927579879760742
MAE,train,1.7826480865478516
MAE,train,1.8162611722946167
MAE,train,1.7595458030700684
MAE,train,1.774186134338379
MAE,train,1.774233102798462
MAE,train,1.7955948114395142
MAE,test,2.353177547454834
MAE,test,2.398224353790283
MAE,test,2.444565534591675
MAE,test,2.2772600650787354
MAE,test,2.3345654010772705
MAE,test,2.427370309829712
MAE,test,2.296311855316162
MAE,test,2.2324185371398926
MAE,test,2.244417428970337
MAE,test,2.4657740592956543
Fit_time,train,410.68866300582886
Fit_time,train,403.0581922531128
Fit_time,train,428.5504057407379
Fit_time,train,359.2271659374237
Fit_time,train,323.2308406829834
Fit_time,train,384.8901665210724
Fit_time,train,345.53265047073364
Fit_time,train,303.37088418006897
Fit_time,train,297.91607570648193
Fit_time,train,358.879189491272
Fit_time,test,0.20517587661743164
Fit_time,test,0.1985337734222412
Fit_time,test,0.19893503189086914
Fit_time,test,0.16243696212768555
Fit_time,test,0.15686392784118652
Fit_time,test,0.20800352096557617
Fit_time,test,0.14493989944458008
Fit_time,test,0.13530230522155762
Fit_time,test,0.22971391677856445
Fit_time,test,0.1994178295135498
