metric,dataset,value
RMSE,train,1.9186100547764353
RMSE,train,1.9131468217526044
RMSE,train,1.9268025137520204
RMSE,train,1.9231651506440868
RMSE,train,1.9300472898876848
RMSE,train,1.919542467662081
RMSE,train,1.9225369211174028
RMSE,train,1.9249718351736387
RMSE,train,1.8961701148866064
RMSE,train,1.9080052681409212
RMSE,test,1.9955043622061255
RMSE,test,1.9646307829123113
RMSE,test,2.0142536775205784
RMSE,test,2.049213371048472
RMSE,test,1.9936688081205125
RMSE,test,2.0072631833463657
RMSE,test,2.050165573848252
RMSE,test,1.9687593865022446
RMSE,test,2.036270289652637
RMSE,test,2.0381182248651477
R2,train,0.5867314943038724
R2,train,0.5903501229994719
R2,train,0.5834215059015071
R2,train,0.5846204360485685
R2,train,0.581053187364541
R2,train,0.5862344129149186
R2,train,0.5833975142394909
R2,train,0.5847346195950487
R2,train,0.5960197664185249
R2,train,0.5907091964877808
R2,test,0.5514805936093228
R2,test,0.5526724700588026
R2,test,0.5405427538249089
R2,test,0.5286319447663246
R2,test,0.559384935607272
R2,test,0.5471034641243975
R2,test,0.5427720132345851
R2,test,0.5558593204504301
R2,test,0.536228894583406
R2,test,0.5373453710331182
MAE,train,1.4475639570226728
MAE,train,1.4440609831202873
MAE,train,1.4542453709925822
MAE,train,1.4513693589258814
MAE,train,1.4577676545552916
MAE,train,1.446684873582547
MAE,train,1.4518358434873875
MAE,train,1.4512163504344213
MAE,train,1.4310816782502371
MAE,train,1.4390261850910286
MAE,test,1.5295111044045246
MAE,test,1.468347315515566
MAE,test,1.4970886271161132
MAE,test,1.5460862497523307
MAE,test,1.5087952391223705
MAE,test,1.5313430219621413
MAE,test,1.5393829369218144
MAE,test,1.485281569873979
MAE,test,1.539942746479026
MAE,test,1.5199969179924817
