metric,dataset,value
RMSE,train,1.7998983651357507
RMSE,train,1.8090638675314112
RMSE,train,1.7964797173952523
RMSE,train,1.7964482492463614
RMSE,train,1.801567088727675
RMSE,train,1.8010344091608308
RMSE,train,1.795576817345013
RMSE,train,1.7959761494514954
RMSE,train,1.7949544739628553
RMSE,train,1.7961028560587633
RMSE,test,2.0229593527209158
RMSE,test,1.9605209220796758
RMSE,test,2.0418655351107855
RMSE,test,2.045184823117488
RMSE,test,2.039410333818106
RMSE,test,2.050390374648544
RMSE,test,2.0849068734207385
RMSE,test,2.013942565711404
RMSE,test,2.074173073177508
RMSE,test,2.074695509898774
R2,train,0.6362903343897243
R2,train,0.633710873448981
R2,train,0.6378678577139233
R2,train,0.63755560615761
R2,train,0.6349739412982509
R2,train,0.6357471669560695
R2,train,0.6366037358145713
R2,train,0.6385251407431226
R2,train,0.6379968106542035
R2,train,0.6373102731673083
R2,test,0.539053853236201
R2,test,0.5545420640370038
R2,test,0.5278597211770144
R2,test,0.530483447668533
R2,test,0.5389345875637042
R2,test,0.527432914250489
R2,test,0.5271447072664539
R2,test,0.5352392634264606
R2,test,0.5188030991567143
R2,test,0.5205902073593331
MAE,train,1.3734363980082782
MAE,train,1.3826246096561292
MAE,train,1.3722327682871578
MAE,train,1.3713640759558705
MAE,train,1.374971704116352
MAE,train,1.373671679132288
MAE,train,1.3725260086921403
MAE,train,1.3679089477890964
MAE,train,1.370226931629105
MAE,train,1.3692313477509441
MAE,test,1.5764681590899525
MAE,test,1.4950728084829827
MAE,test,1.5459876294196377
MAE,test,1.5730084356538727
MAE,test,1.5581593531184614
MAE,test,1.6016404893463134
MAE,test,1.5742263591352081
MAE,test,1.548191663215356
MAE,test,1.591217363092256
MAE,test,1.583845770476519
Fit_time,train,9.569196701049805
Fit_time,train,9.585355281829834
Fit_time,train,9.612656593322754
Fit_time,train,9.749045372009277
Fit_time,train,9.734538793563843
Fit_time,train,10.018312931060791
Fit_time,train,9.99903678894043
Fit_time,train,9.82968807220459
Fit_time,train,9.972450256347656
Fit_time,train,10.007644891738892
Fit_time,test,0.012078523635864258
Fit_time,test,0.015515565872192383
Fit_time,test,0.011002302169799805
Fit_time,test,0.01100015640258789
Fit_time,test,0.012003660202026367
Fit_time,test,0.017004013061523438
Fit_time,test,0.011999845504760742
Fit_time,test,0.01100015640258789
Fit_time,test,0.011002779006958008
Fit_time,test,0.017003774642944336
