metric,dataset,value
RMSE,train,1.8426473420288296
RMSE,train,1.8323179693134433
RMSE,train,1.8279771747428202
RMSE,train,1.8387388839605603
RMSE,train,1.8442437366214526
RMSE,train,1.8301599681556655
RMSE,train,1.83582937931588
RMSE,train,1.8296282678949538
RMSE,train,1.8399992246809602
RMSE,train,1.8428237100599676
RMSE,test,1.9666807165775746
RMSE,test,1.9977910525740856
RMSE,test,2.1023352764849124
RMSE,test,1.9372877809158022
RMSE,test,1.91091754845023
RMSE,test,2.0325408135960217
RMSE,test,1.9558875580549944
RMSE,test,2.090207162561719
RMSE,test,2.0747299032674964
RMSE,test,2.025657788580204
R2,train,0.6871506659391731
R2,train,0.6898851124511163
R2,train,0.6899804394717346
R2,train,0.6880608258890475
R2,train,0.6863254464790789
R2,train,0.6910655772446737
R2,train,0.6895550149138898
R2,train,0.6900492440865064
R2,train,0.686642834439052
R2,train,0.6866808611739432
R2,test,0.6351732330536803
R2,test,0.6319637634355866
R2,test,0.6080354190909844
R2,test,0.6503713576648864
R2,test,0.6584045615200149
R2,test,0.6137698152169075
R2,test,0.6381518957423152
R2,test,0.6056580930977904
R2,test,0.6100655787225036
R2,test,0.6174197384400824
MAE,train,1.3984333127229034
MAE,train,1.3946444694770201
MAE,train,1.389000339276832
MAE,train,1.3984918311888677
MAE,train,1.4027541384658422
MAE,train,1.3910097050689882
MAE,train,1.3946558901085937
MAE,train,1.3911310028166464
MAE,train,1.3976405446335374
MAE,train,1.4000719621229774
MAE,test,1.4959810574743477
MAE,test,1.508567948847689
MAE,test,1.587152589335067
MAE,test,1.4781481979666324
MAE,test,1.4561353753522068
MAE,test,1.5458936385344562
MAE,test,1.4852365911220005
MAE,test,1.5579624612841683
MAE,test,1.5793087625697542
MAE,test,1.553728795847212
Fit_time,train,1.60146164894104
Fit_time,train,1.581205129623413
Fit_time,train,1.5296900272369385
Fit_time,train,1.4983248710632324
Fit_time,train,1.5192248821258545
Fit_time,train,1.409036636352539
Fit_time,train,1.4137873649597168
Fit_time,train,1.392836093902588
Fit_time,train,1.4258105754852295
Fit_time,train,1.3884649276733398
Fit_time,test,0.009360074996948242
Fit_time,test,0.008999109268188477
Fit_time,test,0.006999492645263672
Fit_time,test,0.00800013542175293
Fit_time,test,0.008147716522216797
Fit_time,test,0.0069997310638427734
Fit_time,test,0.006999015808105469
Fit_time,test,0.00800013542175293
Fit_time,test,0.007517099380493164
Fit_time,test,0.006999969482421875
