metric,dataset,value
RMSE,train,1.4916885316160506
RMSE,train,1.4982815594046284
RMSE,train,1.49565593774612
RMSE,train,1.4876623072420845
RMSE,train,1.4877420126773155
RMSE,train,1.4841116031583874
RMSE,train,1.4826720240832776
RMSE,train,1.488334201303067
RMSE,train,1.4915640785162565
RMSE,train,1.4841771442630514
RMSE,test,1.6530842250937285
RMSE,test,1.6881069978344918
RMSE,test,1.6914203427553376
RMSE,test,1.6960313671413185
RMSE,test,1.71800892098203
RMSE,test,1.6797692187439124
RMSE,test,1.729795705316974
RMSE,test,1.7364925417081907
RMSE,test,1.768847130674713
RMSE,test,1.705453139993246
R2,train,0.7950857716878015
R2,train,0.7919637186174213
R2,train,0.7931151481057952
R2,train,0.795664850564242
R2,train,0.7955835895532045
R2,train,0.7959149309341551
R2,train,0.7971705693356499
R2,train,0.7950524051675427
R2,train,0.7939672896440091
R2,train,0.7965643317014823
R2,test,0.738593353435362
R2,test,0.7425543758856099
R2,test,0.7368294514467634
R2,test,0.731347459366299
R2,test,0.7249974377488453
R2,test,0.7447197683882012
R2,test,0.7188253667186023
R2,test,0.7236356316290888
R2,test,0.7154290420585991
R2,test,0.7289531243789692
MAE,train,1.0781754742909666
MAE,train,1.0851150783950212
MAE,train,1.0824528492975451
MAE,train,1.076744925950152
MAE,train,1.0799584788536907
MAE,train,1.0781500527204928
MAE,train,1.0753347970768503
MAE,train,1.0788418091183691
MAE,train,1.079098818196375
MAE,train,1.075640060409798
MAE,test,1.2051900228367742
MAE,test,1.2182365949946679
MAE,test,1.2326407453996033
MAE,test,1.2286699780340473
MAE,test,1.2250554377494445
MAE,test,1.2126001173008212
MAE,test,1.2342238147625066
MAE,test,1.2577266004985352
MAE,test,1.2605621123035164
MAE,test,1.2383345539092563
Fit_time,train,13.597572803497314
Fit_time,train,13.971585273742676
Fit_time,train,13.174290418624878
Fit_time,train,13.431256294250488
Fit_time,train,13.770328044891357
Fit_time,train,13.168745517730713
Fit_time,train,14.165677309036255
Fit_time,train,13.131432294845581
Fit_time,train,13.30879545211792
Fit_time,train,13.82890009880066
Fit_time,test,0.014004945755004883
Fit_time,test,0.013999700546264648
Fit_time,test,0.017999887466430664
Fit_time,test,0.014000892639160156
Fit_time,test,0.014003515243530273
Fit_time,test,0.017000675201416016
Fit_time,test,0.016000032424926758
Fit_time,test,0.014000177383422852
Fit_time,test,0.016005992889404297
Fit_time,test,0.01500391960144043
