metric,dataset,value
RMSE,train,1.8345801910199901
RMSE,train,1.831621547987686
RMSE,train,1.8267491420931177
RMSE,train,1.827617049127732
RMSE,train,1.833715334022043
RMSE,train,1.8188576940304353
RMSE,train,1.8182518082967298
RMSE,train,1.8236552039074185
RMSE,train,1.8266447568237731
RMSE,train,1.828615157303688
RMSE,test,1.9094641910722057
RMSE,test,1.9247685227134623
RMSE,test,1.9444753120833118
RMSE,test,1.9324986917882563
RMSE,test,1.9322584605117512
RMSE,test,1.9558330593060698
RMSE,test,1.9419773166146093
RMSE,test,1.9573807516375192
RMSE,test,1.969808392884723
RMSE,test,1.9539375579462304
R2,train,0.6900517325789305
R2,train,0.6890978668675198
R2,train,0.6913806743389279
R2,train,0.6916068220388698
R2,train,0.6894551463311466
R2,train,0.6934681863583727
R2,train,0.694965584274922
R2,train,0.6923000944156179
R2,train,0.690998538440859
R2,train,0.6911836739965973
R2,test,0.6512215050388355
R2,test,0.665310113403137
R2,test,0.652192411180504
R2,test,0.6512119401835448
R2,test,0.6521305054967709
R2,test,0.6539160066923615
R2,test,0.6456154221512251
R2,test,0.6488547236403566
R2,test,0.6470948955843692
R2,test,0.6442161870062666
MAE,train,1.3781222587453947
MAE,train,1.3767630950029168
MAE,train,1.370259601110277
MAE,train,1.3742569557771211
MAE,train,1.3791347689141937
MAE,train,1.3668437316682358
MAE,train,1.3636016523948566
MAE,train,1.372138226853455
MAE,train,1.3772854441933986
MAE,train,1.3725924917415535
MAE,test,1.4429850429621736
MAE,test,1.4497900692567998
MAE,test,1.4844543066283888
MAE,test,1.445123810100587
MAE,test,1.4323779087450554
MAE,test,1.4696440730075244
MAE,test,1.4207121024102247
MAE,test,1.4587266691118645
MAE,test,1.475457909426579
MAE,test,1.4866587805800036
Fit_time,train,4.6921446323394775
Fit_time,train,4.769725799560547
Fit_time,train,4.6522111892700195
Fit_time,train,5.161763429641724
Fit_time,train,5.025052309036255
Fit_time,train,4.8397300243377686
Fit_time,train,4.998921632766724
Fit_time,train,4.776016473770142
Fit_time,train,4.696630239486694
Fit_time,train,4.879588842391968
Fit_time,test,0.013005256652832031
Fit_time,test,0.012000560760498047
Fit_time,test,0.009999752044677734
Fit_time,test,0.010007619857788086
Fit_time,test,0.011999845504760742
Fit_time,test,0.009999990463256836
Fit_time,test,0.01100468635559082
Fit_time,test,0.009999275207519531
Fit_time,test,0.009999990463256836
Fit_time,test,0.012003421783447266
