metric,dataset,value
RMSE,train,1.458848784034382
RMSE,train,1.4455290891060544
RMSE,train,1.4505355344936097
RMSE,train,1.456420049138636
RMSE,train,1.4504963306360201
RMSE,train,1.4490447752802278
RMSE,train,1.4418745971429257
RMSE,train,1.4512682741725431
RMSE,train,1.4490217060293253
RMSE,train,1.4566761839608553
RMSE,test,1.630076809427747
RMSE,test,1.674387076492301
RMSE,test,1.6847086899894206
RMSE,test,1.6704731263484107
RMSE,test,1.6557949828167355
RMSE,test,1.701403878087157
RMSE,test,1.7421455498296567
RMSE,test,1.7221599349222607
RMSE,test,1.7241911337229823
RMSE,test,1.666815718760865
R2,train,0.8040088917215564
R2,train,0.8063551796839625
R2,train,0.8054093186793045
R2,train,0.8041571780113754
R2,train,0.8056906172658831
R2,train,0.8054453020154583
R2,train,0.8081791697390119
R2,train,0.8051334460155913
R2,train,0.8055526061658339
R2,train,0.8040335791175739
R2,test,0.7458191659064837
R2,test,0.7467220977005571
R2,test,0.7389138593106725
R2,test,0.7393833376107681
R2,test,0.7445540416930119
R2,test,0.7381016365584807
R2,test,0.7147961524200799
R2,test,0.7281788992204372
R2,test,0.7296161249294464
R2,test,0.741095261926169
MAE,train,1.071049443303928
MAE,train,1.0617524175426059
MAE,train,1.0631792108210378
MAE,train,1.0653012694084145
MAE,train,1.0657994386615735
MAE,train,1.0617613712562979
MAE,train,1.0604514284418989
MAE,train,1.0624809915007896
MAE,train,1.0634427933386519
MAE,train,1.0666359067696516
MAE,test,1.1961213188625255
MAE,test,1.2094785262152592
MAE,test,1.2245192365808615
MAE,test,1.2226705148735628
MAE,test,1.2079179499545651
MAE,test,1.2342360582197078
MAE,test,1.247100624859619
MAE,test,1.2585484829891922
MAE,test,1.239186433843378
MAE,test,1.2385574988541803
Fit_time,train,6.339082479476929
Fit_time,train,6.145853042602539
Fit_time,train,5.972208023071289
Fit_time,train,5.990118026733398
Fit_time,train,5.960477828979492
Fit_time,train,6.011930465698242
Fit_time,train,5.99376106262207
Fit_time,train,5.968844175338745
Fit_time,train,5.9770495891571045
Fit_time,train,6.071819067001343
Fit_time,test,0.008019447326660156
Fit_time,test,0.009758234024047852
Fit_time,test,0.009760141372680664
Fit_time,test,0.008014202117919922
Fit_time,test,0.008023262023925781
Fit_time,test,0.0077555179595947266
Fit_time,test,0.007021665573120117
Fit_time,test,0.010019540786743164
Fit_time,test,0.009259462356567383
Fit_time,test,0.009017467498779297
