metric,dataset,value
RMSE,train,2.1240503636894164
RMSE,train,2.1231567672816216
RMSE,train,2.1164626748102604
RMSE,train,2.1379345811791883
RMSE,train,2.129986620187031
RMSE,train,2.124955287159082
RMSE,train,2.131722416280456
RMSE,train,2.114791432566159
RMSE,train,2.117438334055062
RMSE,train,2.124012150633636
RMSE,test,2.1786652841849605
RMSE,test,2.20030237359542
RMSE,test,2.346372709482971
RMSE,test,2.1885648883632913
RMSE,test,2.1533434270173872
RMSE,test,2.241467216267504
RMSE,test,2.15407214052335
RMSE,test,2.3152409659571935
RMSE,test,2.335227784309709
RMSE,test,2.2345846644149896
R2,train,0.584299635699363
R2,train,0.5836246038130356
R2,train,0.5844064613924878
R2,train,0.5782854147029524
R2,train,0.5815954440637128
R2,train,0.5835260988797535
R2,train,0.5814172553007619
R2,train,0.5859030216939871
R2,train,0.5850212169939738
R2,train,0.5837700419475808
R2,test,0.5522866938199196
R2,test,0.5535681325214257
R2,test,0.5117560541867179
R2,test,0.5537917659787633
R2,test,0.5662347433536735
R2,test,0.5302871468193578
R2,test,0.5611066290250509
R2,test,0.5161768267838795
R2,test,0.5060000108355476
R2,test,0.5344310254958861
MAE,train,1.6250327953390955
MAE,train,1.624942585166066
MAE,train,1.6211215311216702
MAE,train,1.6379644127729545
MAE,train,1.6256702972345298
MAE,train,1.6249872977396058
MAE,train,1.632006245836688
MAE,train,1.6162288656926034
MAE,train,1.616131991291403
MAE,train,1.6241152617333612
MAE,test,1.6697398474135565
MAE,test,1.6968394124733426
MAE,test,1.7876471362092103
MAE,test,1.6873623729531135
MAE,test,1.6643060165026202
MAE,test,1.7262341423748766
MAE,test,1.6503451052022724
MAE,test,1.7529910979874908
MAE,test,1.7858392420058449
MAE,test,1.708354004489149
Fit_time,train,1.2978031635284424
Fit_time,train,1.322542428970337
Fit_time,train,1.3167312145233154
Fit_time,train,1.3317592144012451
Fit_time,train,1.297255516052246
Fit_time,train,1.3101379871368408
Fit_time,train,1.2747423648834229
Fit_time,train,1.3322503566741943
Fit_time,train,1.2987172603607178
Fit_time,train,1.282796859741211
Fit_time,test,0.00599980354309082
Fit_time,test,0.007002592086791992
Fit_time,test,0.0060002803802490234
Fit_time,test,0.00800943374633789
Fit_time,test,0.006999969482421875
Fit_time,test,0.007003068923950195
Fit_time,test,0.006508588790893555
Fit_time,test,0.00599980354309082
Fit_time,test,0.0070037841796875
Fit_time,test,0.006999492645263672
