metric,dataset,value
RMSE,train,1.7393520911593323
RMSE,train,1.7555020574802283
RMSE,train,1.7405555180811496
RMSE,train,1.755160384805097
RMSE,train,1.7579898395410336
RMSE,train,1.760238501217777
RMSE,train,1.7581697035549153
RMSE,train,1.7452576484191775
RMSE,train,1.7393319306000294
RMSE,train,1.7528148136789559
RMSE,test,1.9335847206115424
RMSE,test,1.9561007622221618
RMSE,test,2.0588102763752074
RMSE,test,1.9418157848839457
RMSE,test,1.8998489383551485
RMSE,test,1.9498224867956813
RMSE,test,1.9136220390158079
RMSE,test,2.031137152042267
RMSE,test,2.0242673244094758
RMSE,test,1.9650026715058733
R2,train,0.7212429934846716
R2,train,0.7153418517038523
R2,train,0.7189242876348354
R2,train,0.7157742549765875
R2,train,0.7149799738984384
R2,train,0.7142203956794236
R2,train,0.7152645102737676
R2,train,0.7179759943637956
R2,train,0.7199927413346774
R2,train,0.7165402423657258
R2,test,0.6473487832335498
R2,test,0.6471639932965234
R2,test,0.6240972317989838
R2,test,0.6487350803901675
R2,test,0.6623503481028129
R2,test,0.6445669476046346
R2,test,0.6536215521713885
R2,test,0.627631642578881
R2,test,0.6288032452967509
R2,test,0.6399882348917976
MAE,train,1.3355169072244957
MAE,train,1.3504956469083813
MAE,train,1.3375769954696664
MAE,train,1.3446882563308487
MAE,train,1.3512322925675233
MAE,train,1.3531280641865941
MAE,train,1.3505126152270333
MAE,train,1.342266207549343
MAE,train,1.3386309619886547
MAE,train,1.3460875865645279
MAE,test,1.4917285838260732
MAE,test,1.507117206930538
MAE,test,1.5561563973736503
MAE,test,1.4882280588785841
MAE,test,1.4638780219474483
MAE,test,1.487773367842663
MAE,test,1.4702158207551277
MAE,test,1.5321778560800825
MAE,test,1.5451101667955447
MAE,test,1.4932502234672713
Fit_time,train,4.4903178215026855
Fit_time,train,3.972038507461548
Fit_time,train,4.265516042709351
Fit_time,train,4.093117952346802
Fit_time,train,3.8667078018188477
Fit_time,train,3.765148878097534
Fit_time,train,3.95473313331604
Fit_time,train,4.122023820877075
Fit_time,train,4.131467342376709
Fit_time,train,3.9624078273773193
Fit_time,test,0.00800013542175293
Fit_time,test,0.00800776481628418
Fit_time,test,0.007510662078857422
Fit_time,test,0.00800013542175293
Fit_time,test,0.009000062942504883
Fit_time,test,0.008002281188964844
Fit_time,test,0.007509946823120117
Fit_time,test,0.008999347686767578
Fit_time,test,0.007000446319580078
Fit_time,test,0.007999897003173828
