metric,dataset,value
RMSE,train,1.9598107539299885
RMSE,train,1.9491887856513164
RMSE,train,1.938993537802312
RMSE,train,1.9554524160562157
RMSE,train,1.962375175818457
RMSE,train,1.9361143113928467
RMSE,train,1.9468979650865013
RMSE,train,1.9413151427409994
RMSE,train,1.932082616848035
RMSE,train,1.938248194813879
RMSE,test,2.1018416186430935
RMSE,test,2.108475545345571
RMSE,test,2.213533346406936
RMSE,test,2.0718273322426546
RMSE,test,2.0604098964650808
RMSE,test,2.1054238176126283
RMSE,test,2.091729204440977
RMSE,test,2.15508906804125
RMSE,test,2.20640181495411
RMSE,test,2.1620981975093594
R2,train,0.6461012264189312
R2,train,0.6490633367196292
R2,train,0.6511808796664131
R2,train,0.6472034722446727
R2,train,0.6448541559607766
R2,train,0.6542595530820936
R2,train,0.6508545396754164
R2,train,0.6510533276690986
R2,train,0.6544938864157825
R2,train,0.6533923707073352
R2,test,0.5833043660481367
R2,test,0.5900531154900284
R2,test,0.5654747610016444
R2,test,0.6001235374422724
R2,test,0.6028675091763791
R2,test,0.5855742567696904
R2,test,0.5861438115665678
R2,test,0.5807966768444561
R2,test,0.5590009507806396
R2,test,0.5641458025418818
MAE,train,1.5036326419394777
MAE,train,1.499648759194068
MAE,train,1.489482452627654
MAE,train,1.50377619419023
MAE,train,1.511407170855122
MAE,train,1.4878597359612615
MAE,train,1.4973015513531438
MAE,train,1.490737379448458
MAE,train,1.482942200153187
MAE,train,1.4873563886423304
MAE,test,1.6140393324823579
MAE,test,1.6187257577385732
MAE,test,1.6837822119380452
MAE,test,1.5898897528149103
MAE,test,1.5779100977604024
MAE,test,1.6224273244211693
MAE,test,1.5961740687773447
MAE,test,1.6320229517825908
MAE,test,1.6719981597860867
MAE,test,1.6588976945934988
Fit_time,train,2.349710702896118
Fit_time,train,2.515538454055786
Fit_time,train,2.2124295234680176
Fit_time,train,2.14609432220459
Fit_time,train,2.1832802295684814
Fit_time,train,2.1588830947875977
Fit_time,train,2.0955657958984375
Fit_time,train,2.225102186203003
Fit_time,train,2.213871479034424
Fit_time,train,2.2248263359069824
Fit_time,test,0.007000446319580078
Fit_time,test,0.007000446319580078
Fit_time,test,0.008007049560546875
Fit_time,test,0.007000446319580078
Fit_time,test,0.00800013542175293
Fit_time,test,0.006502628326416016
Fit_time,test,0.0069997310638427734
Fit_time,test,0.006508827209472656
Fit_time,test,0.0060002803802490234
Fit_time,test,0.0070037841796875
