metric,dataset,value
RMSE,train,0.6802682136962174
RMSE,train,0.674303822437732
RMSE,train,0.6765812349517782
RMSE,train,0.6599793861945576
RMSE,train,0.6690793902615196
RMSE,train,0.6751376672789119
RMSE,train,0.6762335246062763
RMSE,train,0.675823953961239
RMSE,train,0.667891224475081
RMSE,train,0.6942722149705771
RMSE,test,0.8737926274667746
RMSE,test,0.8911781789844494
RMSE,test,0.9364868775773411
RMSE,test,0.9634047765590054
RMSE,test,0.88958845289491
RMSE,test,0.8617049287020394
RMSE,test,0.9828701058588617
RMSE,test,0.9346577358246753
RMSE,test,0.9048184536574034
RMSE,test,0.7848009918352642
R2,train,0.8188612422258148
R2,train,0.8250143587156578
R2,train,0.8201285799765192
R2,train,0.8296249960302128
R2,train,0.8269591064916567
R2,train,0.8252205902540931
R2,train,0.8227321674394739
R2,train,0.8199102435118291
R2,train,0.8290072451373093
R2,train,0.8158755576423106
R2,test,0.7261874045437875
R2,test,0.6695204322112924
R2,test,0.6962405891405237
R2,test,0.6661666379927009
R2,test,0.6845675345006499
R2,test,0.67990191027731
R2,test,0.6246828388284357
R2,test,0.7049377300129155
R2,test,0.6456762678669872
R2,test,0.7227995045798888
MAE,train,0.5078278758420418
MAE,train,0.5058717895747796
MAE,train,0.5093362812486566
MAE,train,0.4962887683349407
MAE,train,0.5030867804346332
MAE,train,0.5056214094778546
MAE,train,0.5061714653478069
MAE,train,0.5075979290806553
MAE,train,0.5018484308490228
MAE,train,0.5210426293681185
MAE,test,0.6763982051217606
MAE,test,0.6758248917664029
MAE,test,0.696065100641188
MAE,test,0.7410849107402744
MAE,test,0.6857691459202553
MAE,test,0.6327328625340262
MAE,test,0.725131912267765
MAE,test,0.7062874073288056
MAE,test,0.6759741942767754
MAE,test,0.5928194440413607
