metric,dataset,value
RMSE,train,0.538457059965524
RMSE,train,0.5359029409223083
RMSE,train,0.5438333062638371
RMSE,train,0.5450467548972191
RMSE,train,0.5454524379068988
RMSE,train,0.5493778159639892
RMSE,train,0.5431636728544574
RMSE,train,0.5480962884926813
RMSE,train,0.5461738348440359
RMSE,train,0.5504433404472187
RMSE,test,0.7929007983868013
RMSE,test,0.7872933047533622
RMSE,test,0.7588688142134864
RMSE,test,0.8449566443608755
RMSE,test,0.7617705987364275
RMSE,test,0.7448039800483501
RMSE,test,0.8368438069814169
RMSE,test,0.8368060756468225
RMSE,test,0.8073488820925997
RMSE,test,0.7081091787566083
R2,train,0.886511154205545
R2,train,0.8894742549812572
R2,train,0.8837872254400625
R2,train,0.8837982540258141
R2,train,0.884997516694557
R2,train,0.8842695004647687
R2,train,0.885633725879643
R2,train,0.8815498618806047
R2,train,0.8856521465124367
R2,train,0.8842616949108709
R2,test,0.7745374679221922
R2,test,0.7420778488492252
R2,test,0.8005381875797049
R2,test,0.7432082916077765
R2,test,0.7686995222668503
R2,test,0.7608612769488997
R2,test,0.7279210245840342
R2,test,0.7634853105561674
R2,test,0.7179021088755424
R2,test,0.774329202610945
MAE,train,0.3951189141669492
MAE,train,0.38975921502315486
MAE,train,0.39966308454741417
MAE,train,0.3968648891625845
MAE,train,0.39968196959579316
MAE,train,0.40333420106892504
MAE,train,0.3954997437789446
MAE,train,0.40000505035624384
MAE,train,0.3983702653671412
MAE,train,0.4006765842117366
MAE,test,0.5664538366869115
MAE,test,0.5757280943936476
MAE,test,0.5456265219163582
MAE,test,0.6234079057008658
MAE,test,0.5619523393226737
MAE,test,0.5258443424156782
MAE,test,0.5982707422415454
MAE,test,0.5915358947829287
MAE,test,0.5806485097404069
MAE,test,0.5261644891198437
Fit_time,train,2.005427598953247
Fit_time,train,1.9358038902282715
Fit_time,train,1.9111335277557373
Fit_time,train,1.8930189609527588
Fit_time,train,2.0206189155578613
Fit_time,train,2.2642831802368164
Fit_time,train,1.9847724437713623
Fit_time,train,2.1815555095672607
Fit_time,train,1.9525389671325684
Fit_time,train,1.977656602859497
Fit_time,test,0.005002737045288086
Fit_time,test,0.004999876022338867
Fit_time,test,0.005459785461425781
Fit_time,test,0.005998849868774414
Fit_time,test,0.004999876022338867
Fit_time,test,0.00599980354309082
Fit_time,test,0.004999637603759766
Fit_time,test,0.007999658584594727
Fit_time,test,0.005002737045288086
Fit_time,test,0.004999637603759766
