metric,dataset,value
RMSE,train,1.0227227663653728
RMSE,train,0.9486479122035345
RMSE,train,0.9417484025731525
RMSE,train,0.9540581122259056
RMSE,train,0.9266908257637593
RMSE,train,0.9759047772885243
RMSE,train,0.8988915664319667
RMSE,train,0.9267587129128265
RMSE,train,0.9870662533361358
RMSE,train,0.9996195009649632
RMSE,test,0.9457241769785001
RMSE,test,0.8294398468009674
RMSE,test,0.8077822681429293
RMSE,test,1.0479895508878614
RMSE,test,0.9543333992075878
RMSE,test,0.8762844059348162
RMSE,test,0.8888401752442018
RMSE,test,1.0017792251508855
RMSE,test,0.9402459619724962
RMSE,test,0.8781252294248234
R2,train,0.590582013130188
R2,train,0.6536611318588257
R2,train,0.6515085697174072
R2,train,0.6439632773399353
R2,train,0.6680572628974915
R2,train,0.6348086595535278
R2,train,0.6867787837982178
R2,train,0.6613467931747437
R2,train,0.6265273094177246
R2,train,0.61830073595047
R2,test,0.6792507171630859
R2,test,0.7137237787246704
R2,test,0.7739965915679932
R2,test,0.6049736738204956
R2,test,0.6369818449020386
R2,test,0.6689785718917847
R2,test,0.6930599808692932
R2,test,0.6610368490219116
R2,test,0.6173864603042603
R2,test,0.6529533863067627
MAE,train,0.7941300868988037
MAE,train,0.7259907722473145
MAE,train,0.7199445962905884
MAE,train,0.7265746593475342
MAE,train,0.7035175561904907
MAE,train,0.7470848560333252
MAE,train,0.6840367913246155
MAE,train,0.6981276273727417
MAE,train,0.7527164220809937
MAE,train,0.7641963362693787
MAE,test,0.6937336921691895
MAE,test,0.6179331541061401
MAE,test,0.5848696827888489
MAE,test,0.785032331943512
MAE,test,0.6773970127105713
MAE,test,0.6456676125526428
MAE,test,0.6270807981491089
MAE,test,0.7427491545677185
MAE,test,0.7023997902870178
MAE,test,0.673213005065918
