metric,dataset,value
RMSE,train,0.6916788997554719
RMSE,train,0.6897611599047699
RMSE,train,0.6853817572041557
RMSE,train,0.6949021746551098
RMSE,train,0.6911035607891417
RMSE,train,0.6884068247901479
RMSE,train,0.6994941338475125
RMSE,train,0.6869117988030645
RMSE,train,0.6971471287040618
RMSE,train,0.6946622887824409
RMSE,test,0.920478160608541
RMSE,test,0.9306753718813541
RMSE,test,0.9210144643377962
RMSE,test,0.9223500979973176
RMSE,test,0.8903108054447225
RMSE,test,0.8373207749229244
RMSE,test,0.9201744694116711
RMSE,test,0.9571282545043374
RMSE,test,0.880066180451891
RMSE,test,0.826035620175002
R2,train,0.8127335046916182
R2,train,0.8168998745155406
R2,train,0.8154188498877132
R2,train,0.811117171107368
R2,train,0.815379592494696
R2,train,0.8182828465255307
R2,train,0.8103273580813635
R2,train,0.8139525159553109
R2,train,0.8136990279830733
R2,train,0.8156686004920409
R2,test,0.6961469168399613
R2,test,0.6395774384111913
R2,test,0.7061949536930889
R2,test,0.6940124598840844
R2,test,0.684055059424415
R2,test,0.6977615858728785
R2,test,0.6710373970946157
R2,test,0.6905797424847415
R2,test,0.6647969148653887
R2,test,0.692905197450573
MAE,train,0.5138572969491192
MAE,train,0.5184026062745408
MAE,train,0.5185266155175802
MAE,train,0.5230474384146655
MAE,train,0.5184418174852644
MAE,train,0.518194855531949
MAE,train,0.5262546246743559
MAE,train,0.5160835009369484
MAE,train,0.523305758171981
MAE,train,0.5198641024310956
MAE,test,0.696480685187132
MAE,test,0.6750457203035269
MAE,test,0.6956028579027773
MAE,test,0.6994102472415753
MAE,test,0.6847100894856012
MAE,test,0.6213570675569638
MAE,test,0.6975652950435799
MAE,test,0.6975433695834953
MAE,test,0.6633928728544042
MAE,test,0.6280426000558088
