metric,dataset,value
RMSE,train,0.7232337886697826
RMSE,train,0.7155541900145982
RMSE,train,0.7180429502725365
RMSE,train,0.712858492467698
RMSE,train,0.7195122194150144
RMSE,train,0.7232369222740649
RMSE,train,0.7087803396066543
RMSE,train,0.7049001480065867
RMSE,train,0.7014680414554957
RMSE,train,0.7310164101645361
RMSE,test,1.0189308195626965
RMSE,test,1.0315690770988457
RMSE,test,0.985746943633665
RMSE,test,1.0633506710447775
RMSE,test,0.9527196036355566
RMSE,test,0.9211887429742369
RMSE,test,1.0311447893101133
RMSE,test,1.0572692098107246
RMSE,test,1.0230834978102998
RMSE,test,0.875949386359424
R2,train,0.7952572918689453
R2,train,0.8029500955778901
R2,train,0.7974076175128144
R2,train,0.8012295629469065
R2,train,0.7998895392708715
R2,train,0.799429632861318
R2,train,0.8052578928408216
R2,train,0.80408077571819
R2,train,0.8113824871148925
R2,train,0.7958703329668487
R2,test,0.6276716833492729
R2,test,0.5571953672176484
R2,test,0.6634440850139665
R2,test,0.5933084352463172
R2,test,0.6382085329951822
R2,test,0.6341835989407663
R2,test,0.5869092469836241
R2,test,0.6224455103634873
R2,test,0.5469986437814822
R2,test,0.6546710874035341
MAE,train,0.5502626871036974
MAE,train,0.5435151185002071
MAE,train,0.5461552820998536
MAE,train,0.541497408031091
MAE,train,0.5468186100883408
MAE,train,0.5481970838765804
MAE,train,0.540936398770614
MAE,train,0.5328212187185449
MAE,train,0.5300823996892428
MAE,train,0.5557804658822497
MAE,test,0.7631811402961389
MAE,test,0.7949380298308872
MAE,test,0.7644066184503356
MAE,test,0.8180823886625831
MAE,test,0.725892269040418
MAE,test,0.6981110130996705
MAE,test,0.7587171214874175
MAE,test,0.8096713685142837
MAE,test,0.7764900074574819
MAE,test,0.6837399432647158
