metric,dataset,value
RMSE,train,0.6590451321312036
RMSE,train,0.6696070158218187
RMSE,train,0.6582181660816769
RMSE,train,0.6652579579609071
RMSE,train,0.6718531771862271
RMSE,train,0.6669064719641753
RMSE,train,0.6549452360475279
RMSE,train,0.6683848068193489
RMSE,train,0.6620694875185035
RMSE,train,0.6632736153747367
RMSE,test,0.8410087134496829
RMSE,test,0.8606197734743192
RMSE,test,0.8482684970808146
RMSE,test,0.8789492717619077
RMSE,test,0.7990402419255715
RMSE,test,0.8086027671098702
RMSE,test,0.876273296282336
RMSE,test,0.8913675365881438
RMSE,test,0.8276173859854944
RMSE,test,0.7701077068268011
R2,train,0.8299873091426303
R2,train,0.8274435644957838
R2,train,0.8297598494147027
R2,train,0.8268887494427346
R2,train,0.8255213892555044
R2,train,0.829456388805867
R2,train,0.8337175116142144
R2,train,0.8238531068051577
R2,train,0.8319752022798038
R2,train,0.8319504639073593
R2,test,0.7463483681774605
R2,test,0.6917960742360945
R2,test,0.7507741841535852
R2,test,0.7221312118092721
R2,test,0.7455131062279006
R2,test,0.718138100228849
R2,test,0.7016779706200796
R2,test,0.7316373351196791
R2,test,0.7035601711435042
R2,test,0.733082004423433
MAE,train,0.497344335083758
MAE,train,0.505231004858434
MAE,train,0.49902025423707164
MAE,train,0.5033119791593482
MAE,train,0.5082224738000407
MAE,train,0.5072555905398721
MAE,train,0.4924660518299256
MAE,train,0.5026831136400418
MAE,train,0.49840242159115417
MAE,train,0.5006398872733622
MAE,test,0.6330025217567103
MAE,test,0.6534442283966976
MAE,test,0.616794039954661
MAE,test,0.6629363475449748
MAE,test,0.6084759126543187
MAE,test,0.5971734519074491
MAE,test,0.6485773596036992
MAE,test,0.6754464636039963
MAE,test,0.6382642263201411
MAE,test,0.5867013453231171
Fit_time,train,2.336728811264038
Fit_time,train,2.141148328781128
Fit_time,train,1.9890480041503906
Fit_time,train,1.981576681137085
Fit_time,train,1.8863184452056885
Fit_time,train,1.8848609924316406
Fit_time,train,1.9164714813232422
Fit_time,train,1.8772597312927246
Fit_time,train,1.9044625759124756
Fit_time,train,1.892493724822998
Fit_time,test,0.006999015808105469
Fit_time,test,0.0066792964935302734
Fit_time,test,0.008093595504760742
Fit_time,test,0.006106853485107422
Fit_time,test,0.007035970687866211
Fit_time,test,0.0070002079010009766
Fit_time,test,0.006008625030517578
Fit_time,test,0.007004499435424805
Fit_time,test,0.006348133087158203
Fit_time,test,0.006996631622314453
