metric,dataset,value
RMSE,train,0.45403985045113754
RMSE,train,0.46698345461744584
RMSE,train,0.4703075281938627
RMSE,train,0.4558223974141158
RMSE,train,0.46144817641068725
RMSE,train,0.46240224707339606
RMSE,train,0.4584496812820783
RMSE,train,0.45405772007777984
RMSE,train,0.4626076875790448
RMSE,train,0.45919038734966494
RMSE,test,0.779382113047233
RMSE,test,0.737658848870048
RMSE,test,0.7705870226236847
RMSE,test,0.8465897491451787
RMSE,test,0.7485354747634678
RMSE,test,0.7523260603713603
RMSE,test,0.8470795950843847
RMSE,test,0.830578641896665
RMSE,test,0.783721600007333
RMSE,test,0.7496373571408174
R2,train,0.9193063974380493
R2,train,0.9160744547843933
R2,train,0.9130867123603821
R2,train,0.9187288284301758
R2,train,0.9176925420761108
R2,train,0.9180129170417786
R2,train,0.9185258150100708
R2,train,0.9187087416648865
R2,train,0.917966365814209
R2,train,0.9194552302360535
R2,test,0.7821600437164307
R2,test,0.7735738158226013
R2,test,0.7943305969238281
R2,test,0.7422147393226624
R2,test,0.7766669988632202
R2,test,0.7560065984725952
R2,test,0.7212245464324951
R2,test,0.766992449760437
R2,test,0.7341718673706055
R2,test,0.7470834255218506
MAE,train,0.3388703167438507
MAE,train,0.34985584020614624
MAE,train,0.3551231920719147
MAE,train,0.3417692482471466
MAE,train,0.34369727969169617
MAE,train,0.3473230004310608
MAE,train,0.3431040048599243
MAE,train,0.3390249013900757
MAE,train,0.3467071056365967
MAE,train,0.3455183506011963
MAE,test,0.5580487847328186
MAE,test,0.5654651522636414
MAE,test,0.5590763092041016
MAE,test,0.6273584961891174
MAE,test,0.5599277019500732
MAE,test,0.5378596186637878
MAE,test,0.6088912487030029
MAE,test,0.6133301258087158
MAE,test,0.5858638882637024
MAE,test,0.5572921633720398
