metric,dataset,value
RMSE,train,0.4847650034590801
RMSE,train,0.4854684454871218
RMSE,train,0.49124611032804877
RMSE,train,0.49452258037663466
RMSE,train,0.48417556410092005
RMSE,train,0.48773027996670343
RMSE,train,0.48728869455884555
RMSE,train,0.4682242942389643
RMSE,train,0.4947371067952028
RMSE,train,0.4901876693301168
RMSE,test,0.8318006168989649
RMSE,test,0.8249318441501582
RMSE,test,0.7857541137670158
RMSE,test,0.8707167831862532
RMSE,test,0.8170352684588963
RMSE,test,0.7811168938733681
RMSE,test,0.8937857574032333
RMSE,test,0.8900350992911028
RMSE,test,0.8314688487683516
RMSE,test,0.7631551648175937
R2,train,0.9080157279968262
R2,train,0.9092987775802612
R2,train,0.905175507068634
R2,train,0.9043428897857666
R2,train,0.9093852043151855
R2,train,0.9087852835655212
R2,train,0.9079530835151672
R2,train,0.9135570526123047
R2,train,0.9061757326126099
R2,train,0.9082139730453491
R2,test,0.7518723607063293
R2,test,0.7168270945549011
R2,test,0.7861547470092773
R2,test,0.7273120880126953
R2,test,0.7339215278625488
R2,test,0.7369744777679443
R2,test,0.6896347999572754
R2,test,0.7324390411376953
R2,test,0.7007946968078613
R2,test,0.737879753112793
MAE,train,0.3634587526321411
MAE,train,0.3657425343990326
MAE,train,0.3686599135398865
MAE,train,0.37195849418640137
MAE,train,0.3619377613067627
MAE,train,0.3683187663555145
MAE,train,0.3708454668521881
MAE,train,0.3523372411727905
MAE,train,0.37299805879592896
MAE,train,0.367411732673645
MAE,test,0.6102915406227112
MAE,test,0.6252882480621338
MAE,test,0.5882962942123413
MAE,test,0.6464251279830933
MAE,test,0.6134272813796997
MAE,test,0.5640510320663452
MAE,test,0.6523923277854919
MAE,test,0.670286238193512
MAE,test,0.636412501335144
MAE,test,0.5697294473648071
Fit_time,train,22.76800537109375
Fit_time,train,22.388413667678833
Fit_time,train,22.289321422576904
Fit_time,train,21.96405267715454
Fit_time,train,22.51001286506653
Fit_time,train,22.27447819709778
Fit_time,train,22.183581829071045
Fit_time,train,23.24136519432068
Fit_time,train,22.498114585876465
Fit_time,train,22.330281734466553
Fit_time,test,0.010509490966796875
Fit_time,test,0.009403705596923828
Fit_time,test,0.008999824523925781
Fit_time,test,0.009826898574829102
Fit_time,test,0.007998943328857422
Fit_time,test,0.008998870849609375
Fit_time,test,0.009155750274658203
Fit_time,test,0.009497404098510742
Fit_time,test,0.009083271026611328
Fit_time,test,0.00899958610534668
