metric,dataset,value
RMSE,train,0.99639695218344
RMSE,train,1.0127188794860362
RMSE,train,0.996431080276617
RMSE,train,0.9848611941086377
RMSE,train,0.9922716283400974
RMSE,train,1.010403489952696
RMSE,train,1.0067098561238415
RMSE,train,1.000672239168589
RMSE,train,1.0026925028988565
RMSE,train,0.9993836122001014
RMSE,test,1.136415855736396
RMSE,test,1.0773807752619897
RMSE,test,1.1257070555862945
RMSE,test,1.154133469956617
RMSE,test,1.1531158242430997
RMSE,test,1.021182018140212
RMSE,test,1.0915256677016751
RMSE,test,1.2034920173002959
RMSE,test,1.1035556324325635
RMSE,test,1.0062993653258785
R2,train,0.6113883563392974
R2,train,0.6052983126883345
R2,train,0.6098633079660882
R2,train,0.6206018681843781
R2,train,0.6194124372401564
R2,train,0.6085329024087196
R2,train,0.6071333341600342
R2,train,0.6051741741751218
R2,train,0.6146088208388122
R2,train,0.6184808675484135
R2,test,0.5368611223466306
R2,test,0.5169923942759433
R2,test,0.5610883326964139
R2,test,0.5209021550484876
R2,test,0.47000230536298193
R2,test,0.5504559582333277
R2,test,0.5371139676883018
R2,test,0.5107904825776625
R2,test,0.47293302332520537
R2,test,0.544247233886042
MAE,train,0.7595075594390869
MAE,train,0.778789853702142
MAE,train,0.7623445626171581
MAE,train,0.752368384777178
MAE,train,0.7610584342109807
MAE,train,0.7759334803289327
MAE,train,0.7697239526779899
MAE,train,0.7661968431631677
MAE,train,0.7658002447273358
MAE,train,0.7658945900538916
MAE,test,0.8831593590833523
MAE,test,0.8262642329820775
MAE,test,0.8808949708416383
MAE,test,0.8958771456476012
MAE,test,0.885698666884875
MAE,test,0.7811709317055892
MAE,test,0.8348105185242614
MAE,test,0.929478423411432
MAE,test,0.8508677045651281
MAE,test,0.778350768002904
