metric,dataset,value
RMSE,train,0.7641368518399675
RMSE,train,0.758368827094626
RMSE,train,0.7660485832611693
RMSE,train,0.750511629573631
RMSE,train,0.7562365746301046
RMSE,train,0.7517826607786838
RMSE,train,0.7507913349657579
RMSE,train,0.7600297279109309
RMSE,train,0.7467384212016188
RMSE,train,0.757255848166281
RMSE,test,0.9017942571189517
RMSE,test,0.9112369564730706
RMSE,test,0.8693542842271977
RMSE,test,0.9946245590331182
RMSE,test,0.8688622772354452
RMSE,test,0.8459616453240612
RMSE,test,0.9370149940960858
RMSE,test,1.0167575382703542
RMSE,test,0.9227745542693672
RMSE,test,0.7893938146175268
R2,train,0.7714436364285652
R2,train,0.7786639698893739
R2,train,0.7694129602696599
R2,train,0.7796769223745674
R2,train,0.7789406953789175
R2,train,0.7832843871057398
R2,train,0.7814881251154963
R2,train,0.7722370871169056
R2,train,0.7862514244233937
R2,train,0.7809530822128138
R2,test,0.7083569708984725
R2,test,0.6544760342730183
R2,test,0.7382299555731071
R2,test,0.6441798791611278
R2,test,0.6990945866460714
R2,test,0.6914914001089731
R2,test,0.6588862298093154
R2,test,0.6508248957362931
R2,test,0.6314736349936646
R2,test,0.7195455380683896
MAE,train,0.5668588722337438
MAE,train,0.565657608490923
MAE,train,0.5760949414927639
MAE,train,0.5575651213717236
MAE,train,0.5631535849032329
MAE,train,0.5618146042076018
MAE,train,0.5592467733143757
MAE,train,0.5627972226798857
MAE,train,0.5536201820267014
MAE,train,0.5654684287270578
MAE,test,0.6846518096164077
MAE,test,0.681531695923307
MAE,test,0.651709181218116
MAE,test,0.738216872556453
MAE,test,0.6509937757817055
MAE,test,0.6083550131607512
MAE,test,0.688834237854598
MAE,test,0.7658706350021819
MAE,test,0.6884517722565884
MAE,test,0.5979255131276296
