metric,dataset,value
RMSE,train,1.2152121620024172
RMSE,train,1.279568895146507
RMSE,train,1.1908398391852018
RMSE,train,1.2011086051839102
RMSE,train,1.2248751946534868
RMSE,train,1.2195978394533953
RMSE,train,1.187961739566202
RMSE,train,1.217409276774084
RMSE,train,1.220430731327121
RMSE,train,1.2007563174556306
RMSE,test,1.203679786686334
RMSE,test,1.1516522935411129
RMSE,test,1.1814776347590554
RMSE,test,1.2017192306785431
RMSE,test,1.186604413067629
RMSE,test,1.158070188358571
RMSE,test,1.2382467367374543
RMSE,test,1.2473903594829363
RMSE,test,1.335495189593816
RMSE,test,1.0932178292573331
R2,train,0.42196351289749146
R2,train,0.3698868155479431
R2,train,0.4427770972251892
R2,train,0.4357004761695862
R2,train,0.4200679659843445
R2,train,0.4296534061431885
R2,train,0.45293182134628296
R2,train,0.4156203866004944
R2,train,0.42905735969543457
R2,train,0.44924092292785645
R2,test,0.4804126024246216
R2,test,0.4481027126312256
R2,test,0.5165212750434875
R2,test,0.4805806279182434
R2,test,0.43877112865448
R2,test,0.42185646295547485
R2,test,0.40430963039398193
R2,test,0.474450945854187
R2,test,0.22809827327728271
R2,test,0.46211642026901245
MAE,train,0.9616221189498901
MAE,train,1.0308283567428589
MAE,train,0.9445503354072571
MAE,train,0.9487760663032532
MAE,train,0.9718953371047974
MAE,train,0.9681955575942993
MAE,train,0.9424707293510437
MAE,train,0.9722798466682434
MAE,train,0.9662176966667175
MAE,train,0.9492111206054688
MAE,test,0.9315654039382935
MAE,test,0.9200322031974792
MAE,test,0.9498564600944519
MAE,test,0.9272333383560181
MAE,test,0.9576343297958374
MAE,test,0.904991090297699
MAE,test,0.9777565002441406
MAE,test,0.9901675581932068
MAE,test,1.0934587717056274
MAE,test,0.8737268447875977
