metric,dataset,value
RMSE,train,1.214986762064963
RMSE,train,1.2475386705692673
RMSE,train,1.2174213209324156
RMSE,train,1.3669880748806278
RMSE,train,1.2247097819900983
RMSE,train,1.2274024662806706
RMSE,train,1.2327946554035927
RMSE,train,1.21766041687779
RMSE,train,1.2299754773773524
RMSE,train,1.2645391822074998
RMSE,test,1.2890553792121031
RMSE,test,1.2214582625264427
RMSE,test,1.1953406735758831
RMSE,test,1.3462474148582921
RMSE,test,1.2407427369181283
RMSE,test,1.2200876378022387
RMSE,test,1.2935068906431684
RMSE,test,1.3065264413890156
RMSE,test,1.2715576900785894
RMSE,test,1.1630690771205259
R2,train,0.4221779704093933
R2,train,0.4010380506515503
R2,train,0.4176231622695923
R2,train,0.2690719962120056
R2,train,0.4202246069908142
R2,train,0.4223303198814392
R2,train,0.41086065769195557
R2,train,0.41537922620773315
R2,train,0.4200919270515442
R2,train,0.38917553424835205
R2,test,0.4040911793708801
R2,test,0.3791698217391968
R2,test,0.5051087737083435
R2,test,0.34812867641448975
R2,test,0.38639122247695923
R2,test,0.35827648639678955
R2,test,0.34995466470718384
R2,test,0.42343950271606445
R2,test,0.3002393841743469
R2,test,0.3911842107772827
MAE,train,0.967007577419281
MAE,train,0.9866268634796143
MAE,train,0.9683415293693542
MAE,train,1.107466697692871
MAE,train,0.9770629405975342
MAE,train,0.9718634486198425
MAE,train,0.989094078540802
MAE,train,0.9626510143280029
MAE,train,0.977089524269104
MAE,train,1.008951187133789
MAE,test,0.9943902492523193
MAE,test,0.9906570911407471
MAE,test,0.9458960890769958
MAE,test,1.0749725103378296
MAE,test,0.9948723912239075
MAE,test,0.9555686116218567
MAE,test,1.0401058197021484
MAE,test,1.0502610206604004
MAE,test,0.9922178387641907
MAE,test,0.9294450879096985
