metric,dataset,value
RMSE,train,0.7433183835834052
RMSE,train,0.735563146684177
RMSE,train,0.733490922231036
RMSE,train,0.7288979442004734
RMSE,train,0.7411715886900981
RMSE,train,0.7465800295631259
RMSE,train,0.7348468416347914
RMSE,train,0.7377048427025528
RMSE,train,0.7351537294240561
RMSE,train,0.7440298170293629
RMSE,test,0.9047494882955249
RMSE,test,0.8385797018076367
RMSE,test,0.8703533050998942
RMSE,test,0.935042279721561
RMSE,test,0.8377478872576318
RMSE,test,0.8510834053031059
RMSE,test,0.9097561990437855
RMSE,test,0.9267002877421433
RMSE,test,0.9312176431321562
RMSE,test,0.8072146059450132
R2,train,0.7837277613722005
R2,train,0.7917758517221173
R2,train,0.7885967044982132
R2,train,0.7921841883942439
R2,train,0.7876604119989872
R2,train,0.7862735224755949
R2,train,0.7906706119466669
R2,train,0.7854210489719455
R2,train,0.7928320520424839
R2,train,0.7885378930344092
R2,test,0.7064423772581032
R2,test,0.7073798572890551
R2,test,0.737627982355529
R2,test,0.6855333144101114
R2,test,0.7202598528509251
R2,test,0.687744444722582
R2,test,0.6784442962182233
R2,test,0.7099405191604327
R2,test,0.6246989890153726
R2,test,0.7067399267456888
MAE,train,0.5636642839071331
MAE,train,0.5573545191062953
MAE,train,0.5570062317184955
MAE,train,0.5508800651988134
MAE,train,0.5619521126804593
MAE,train,0.5661489738576605
MAE,train,0.5580080189521965
MAE,train,0.558171176607951
MAE,train,0.5516090718731786
MAE,train,0.5629862150151744
MAE,test,0.6819792020128392
MAE,test,0.631702177523576
MAE,test,0.6416155592621761
MAE,test,0.7135357038166102
MAE,test,0.6484017019220153
MAE,test,0.6426263171956411
MAE,test,0.6815496963569961
MAE,test,0.7043387879238016
MAE,test,0.699527532384267
MAE,test,0.6091989327834809
Fit_time,train,5.826821804046631
Fit_time,train,5.957122325897217
Fit_time,train,5.9037885665893555
Fit_time,train,5.644237279891968
Fit_time,train,5.893437385559082
Fit_time,train,5.823800802230835
Fit_time,train,5.530816078186035
Fit_time,train,5.57974910736084
Fit_time,train,5.920742988586426
Fit_time,train,6.584094285964966
Fit_time,test,0.012093067169189453
Fit_time,test,0.008998632431030273
Fit_time,test,0.009999513626098633
Fit_time,test,0.010000228881835938
Fit_time,test,0.01000213623046875
Fit_time,test,0.009002447128295898
Fit_time,test,0.009999513626098633
Fit_time,test,0.010001659393310547
Fit_time,test,0.02900409698486328
Fit_time,test,0.010012149810791016
