metric,dataset,value
RMSE,train,0.723266672790843
RMSE,train,0.727061246483341
RMSE,train,0.7262230512508
RMSE,train,0.724106934345365
RMSE,train,0.7295326603601119
RMSE,train,0.7409232557670391
RMSE,train,0.7268735014670228
RMSE,train,0.7364181786884173
RMSE,train,0.71389098366402
RMSE,train,0.7360396980005484
RMSE,test,0.9350895817222509
RMSE,test,0.900538750420972
RMSE,test,0.8736089406490657
RMSE,test,0.9185222102987168
RMSE,test,0.9559097176870563
RMSE,test,0.8283778480913877
RMSE,test,0.9281442757203151
RMSE,test,0.9282294078382103
RMSE,test,0.9469376319607178
RMSE,test,0.8251201805948682
R2,train,0.7952386728907681
R2,train,0.7965614912757912
R2,train,0.7927653718495677
R2,train,0.794907135929817
R2,train,0.7942769648382783
R2,train,0.7895000274331966
R2,train,0.7951885588647989
R2,train,0.786168909707478
R2,train,0.8046425271283555
R2,train,0.7930552794047342
R2,test,0.6864237902186128
R2,test,0.6625415272329918
R2,test,0.7356614585404432
R2,test,0.6965469756592984
R2,test,0.6357816104399274
R2,test,0.7041831678726685
R2,test,0.6653143040673338
R2,test,0.7089824926667276
R2,test,0.6119210423680925
R2,test,0.6935854852089728
MAE,train,0.5401348869091148
MAE,train,0.5424342143872486
MAE,train,0.5433446014466701
MAE,train,0.5399606713701876
MAE,train,0.543864916452802
MAE,train,0.5528932191986217
MAE,train,0.5379154100532393
MAE,train,0.5451421672070572
MAE,train,0.5299877005592581
MAE,train,0.545935485291632
MAE,test,0.694904673466378
MAE,test,0.670233886193711
MAE,test,0.6582779451696595
MAE,test,0.7032560703544503
MAE,test,0.7134368493193669
MAE,test,0.6127884733584741
MAE,test,0.6877523444228943
MAE,test,0.6881457560394653
MAE,test,0.710860624799123
MAE,test,0.6280642430531393
Fit_time,train,0.5044374465942383
Fit_time,train,0.49477386474609375
Fit_time,train,0.4823470115661621
Fit_time,train,0.47957921028137207
Fit_time,train,0.5554289817810059
Fit_time,train,0.4824707508087158
Fit_time,train,0.5584144592285156
Fit_time,train,0.5507469177246094
Fit_time,train,0.6648862361907959
Fit_time,train,0.7242095470428467
Fit_time,test,0.004000186920166016
Fit_time,test,0.004225492477416992
Fit_time,test,0.004001140594482422
Fit_time,test,0.004000425338745117
Fit_time,test,0.004002571105957031
Fit_time,test,0.003999471664428711
Fit_time,test,0.003998756408691406
Fit_time,test,0.003998279571533203
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003999471664428711
