metric,dataset,value
RMSE,train,0.3941167118569217
RMSE,train,0.39496331999786305
RMSE,train,0.39051610143605303
RMSE,train,0.38794761390543503
RMSE,train,0.3981670122174354
RMSE,train,0.39212849403127936
RMSE,train,0.3936802159282503
RMSE,train,0.39459413520402414
RMSE,train,0.3949836804093942
RMSE,train,0.3993488438866235
RMSE,test,0.8612013473878453
RMSE,test,0.8284282543222014
RMSE,test,0.8482256115371029
RMSE,test,0.901470391068883
RMSE,test,0.8059910418312436
RMSE,test,0.8008300428669126
RMSE,test,0.9228441595974644
RMSE,test,0.940103069950193
RMSE,test,0.8500938712700628
RMSE,test,0.7938768927654226
R2,train,0.9392003989469023
R2,train,0.9399649744267767
R2,train,0.9400760881413518
R2,train,0.9411303698855897
R2,train,0.9387192606261077
R2,train,0.9410393322191967
R2,train,0.9399208581865278
R2,train,0.9386063998606
R2,train,0.940196784027929
R2,train,0.9390804428561811
R2,test,0.7340217826017637
R2,test,0.7144216165055572
R2,test,0.7507993835202419
R2,test,0.7077092447578923
R2,test,0.7410663184355863
R2,test,0.7235308719815675
R2,test,0.6691257982451289
R2,test,0.7014896378275104
R2,test,0.687240065643782
R2,test,0.7163510122541965
MAE,train,0.2749745663557135
MAE,train,0.2762961083733289
MAE,train,0.2751998923793501
MAE,train,0.2736576174565008
MAE,train,0.2799216327146511
MAE,train,0.27597909460518644
MAE,train,0.272912144221265
MAE,train,0.2759621333337567
MAE,train,0.27565193372581887
MAE,train,0.280295892819149
MAE,test,0.6550118286123703
MAE,test,0.6250653566012254
MAE,test,0.6240364848542171
MAE,test,0.6709200865769571
MAE,test,0.6068058264554607
MAE,test,0.5929363268340792
MAE,test,0.6849221048227184
MAE,test,0.717963749908767
MAE,test,0.6308127780594512
MAE,test,0.5770433515124292
