metric,dataset,value
RMSE,train,0.5115002893245972
RMSE,train,0.5138339557895292
RMSE,train,0.5134851724470464
RMSE,train,0.5017854010002414
RMSE,train,0.514307840367357
RMSE,train,0.5106812286173383
RMSE,train,0.5120404202652299
RMSE,train,0.5141451908126752
RMSE,train,0.5160879101463328
RMSE,train,0.5155398962258
RMSE,test,0.8386129824892615
RMSE,test,0.8433048620380117
RMSE,test,0.7722560907705418
RMSE,test,0.8618631625232499
RMSE,test,0.7234553820079904
RMSE,test,0.7495711304613656
RMSE,test,0.8395107962955929
RMSE,test,0.8267320954119739
RMSE,test,0.7339535217956376
RMSE,test,0.7321615359686131
R2,train,0.897589898771841
R2,train,0.8983899251726621
R2,train,0.8963956283701651
R2,train,0.9015124848085447
R2,train,0.8977555521435324
R2,train,0.8999987612456718
R2,train,0.8983645929816088
R2,train,0.8957698399069762
R2,train,0.8979028531627384
R2,train,0.8984741967655516
R2,test,0.7477914341660827
R2,test,0.7040729025519167
R2,test,0.7934386640115376
R2,test,0.7328293278561439
R2,test,0.7913820755951203
R2,test,0.7577902444739361
R2,test,0.7261840505052415
R2,test,0.769145648154908
R2,test,0.7668612516927151
R2,test,0.7587381049845376
MAE,train,0.3576995473600065
MAE,train,0.3635526413476583
MAE,train,0.3642666833573807
MAE,train,0.3554100477379073
MAE,train,0.3615156719080218
MAE,train,0.3635608435165522
MAE,train,0.35966245092753674
MAE,train,0.36516970737856347
MAE,train,0.36405420795114063
MAE,train,0.36355164019982156
MAE,test,0.6237937813559005
MAE,test,0.5904281240719013
MAE,test,0.5390737023409715
MAE,test,0.6090085732545767
MAE,test,0.5343507611596862
MAE,test,0.5327529954473987
MAE,test,0.6016771786138569
MAE,test,0.600239956356711
MAE,test,0.5353944116756417
MAE,test,0.5244688557766669
