metric,dataset,value
RMSE,train,0.7416286727958371
RMSE,train,0.735963139920974
RMSE,train,0.7436478647280454
RMSE,train,0.7238833849267478
RMSE,train,0.7348827527305156
RMSE,train,0.7397891377186456
RMSE,train,0.7337789735655534
RMSE,train,0.731801611318434
RMSE,train,0.7321709916499292
RMSE,train,0.7370173359832781
RMSE,test,0.9258050943810001
RMSE,test,0.8725089982705178
RMSE,test,0.8692140527006182
RMSE,test,0.9383356089306517
RMSE,test,0.9001090667519018
RMSE,test,0.859950497928744
RMSE,test,0.9571254658608412
RMSE,test,0.9392511451578138
RMSE,test,0.9165047286218356
RMSE,test,0.842893902866004
R2,train,0.7847099035781753
R2,train,0.791549328962895
R2,train,0.7827013956495148
R2,train,0.7950337506909652
R2,train,0.7912485245471268
R2,train,0.790143951361738
R2,train,0.7912785583571205
R2,train,0.7888414982380956
R2,train,0.7945097259246506
R2,train,0.7925051694511747
R2,test,0.6926198613036743
R2,test,0.683221750110923
R2,test,0.7383143985970305
R2,test,0.6833142358279991
R2,test,0.6770625666965995
R2,test,0.6812040224551295
R2,test,0.6440869490230152
R2,test,0.7020304150228142
R2,test,0.6364645535869777
R2,test,0.6802424995727011
MAE,train,0.5621373015686442
MAE,train,0.5569557512840398
MAE,train,0.5637678822633458
MAE,train,0.5452304990816744
MAE,train,0.552837873133845
MAE,train,0.5588791978074819
MAE,train,0.55304040974444
MAE,train,0.5486573213613936
MAE,train,0.5523161421424362
MAE,train,0.5541170293691858
MAE,test,0.6903458890465125
MAE,test,0.6614002269912036
MAE,test,0.6718621277565572
MAE,test,0.7166546000630393
MAE,test,0.680398331456062
MAE,test,0.6313512472723772
MAE,test,0.7177257156649378
MAE,test,0.7105953304085189
MAE,test,0.6775567025089378
MAE,test,0.635925052000537
