metric,dataset,value
RMSE,train,0.9884648217885937
RMSE,train,0.992842285771695
RMSE,train,0.9970719331613702
RMSE,train,0.9930766349172728
RMSE,train,1.003888646664324
RMSE,train,0.9951756517369575
RMSE,train,1.0035732039185234
RMSE,train,0.9784011893052484
RMSE,train,0.9762762902290887
RMSE,train,1.0012947624097235
RMSE,test,1.1623031567147453
RMSE,test,1.2430781318126256
RMSE,test,1.238337696325048
RMSE,test,1.2328951461242101
RMSE,test,1.0910643348934
RMSE,test,1.1193364458666368
RMSE,test,1.1699128513233723
RMSE,test,1.286255575540155
RMSE,test,1.2646325119840918
RMSE,test,1.031570854818481
R2,train,0.6175510579558348
R2,train,0.6206398557180461
R2,train,0.6093613151448667
R2,train,0.6142457985784503
R2,train,0.6104488153815946
R2,train,0.6202436238060859
R2,train,0.609577665743928
R2,train,0.6225531607305399
R2,train,0.6346478064244785
R2,train,0.6170202921714159
R2,test,0.5155203894244409
R2,test,0.356997918469378
R2,test,0.46886547029695524
R2,test,0.45328066734352923
R2,test,0.525508064244925
R2,test,0.459883782173544
R2,test,0.4682430267309432
R2,test,0.4411914913958146
R2,test,0.30784074791345095
R2,test,0.521068896596241
MAE,train,0.74691855214534
MAE,train,0.7491490731765899
MAE,train,0.7474250887444126
MAE,train,0.7439902206872476
MAE,train,0.7531272329943687
MAE,train,0.748606716819923
MAE,train,0.7537717012909554
MAE,train,0.730040882244646
MAE,train,0.73148101185577
MAE,train,0.7511972465022457
MAE,test,0.8775014090443172
MAE,test,0.9064464898777294
MAE,test,0.9593569177049325
MAE,test,0.9488956739520173
MAE,test,0.8462896175724314
MAE,test,0.8163448127353233
MAE,test,0.8604558638425358
MAE,test,0.9953639607068364
MAE,test,0.9579602269891978
MAE,test,0.7998208209798208
Fit_time,train,0.6494796276092529
Fit_time,train,0.6107521057128906
Fit_time,train,0.6514575481414795
Fit_time,train,0.6304106712341309
Fit_time,train,0.6306910514831543
Fit_time,train,0.6342723369598389
Fit_time,train,0.6139538288116455
Fit_time,train,0.6432082653045654
Fit_time,train,0.6405227184295654
Fit_time,train,0.6343224048614502
Fit_time,test,0.0049991607666015625
Fit_time,test,0.00500178337097168
Fit_time,test,0.004503726959228516
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999637603759766
Fit_time,test,0.004094600677490234
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999876022338867
Fit_time,test,0.0048370361328125
Fit_time,test,0.004999399185180664
