metric,dataset,value
RMSE,train,0.6638681292300423
RMSE,train,0.6561442345224127
RMSE,train,0.662554842799477
RMSE,train,0.653353985063689
RMSE,train,0.6623082007470957
RMSE,train,0.6570543149400428
RMSE,train,0.658652490605085
RMSE,train,0.6553421553306507
RMSE,train,0.6688653150922413
RMSE,train,0.6607469871844003
RMSE,test,1.0730490411433835
RMSE,test,1.0719561548611176
RMSE,test,1.0420654779267902
RMSE,test,1.0588982900294122
RMSE,test,1.0059007177211219
RMSE,test,0.9772942316954195
RMSE,test,1.1292079005390516
RMSE,test,1.0993206033688816
RMSE,test,1.0524948850577078
RMSE,test,0.9046221384171004
R2,train,0.827489844211318
R2,train,0.8343124773494157
R2,train,0.8275092018131954
R2,train,0.833028547277161
R2,train,0.8304437866141965
R2,train,0.8344580242971834
R2,train,0.8318297318086548
R2,train,0.8306605833489571
R2,train,0.8285081102659977
R2,train,0.8332283376750844
R2,test,0.5870705940492866
R2,test,0.5218440433441724
R2,test,0.6238887131241314
R2,test,0.5967070410735469
R2,test,0.596690592346606
R2,test,0.5882661253431409
R2,test,0.504602299303011
R2,test,0.5918148463434465
R2,test,0.5205786937897889
R2,test,0.6316935374640729
MAE,train,0.504042827760021
MAE,train,0.49975667511292016
MAE,train,0.5044318916919239
MAE,train,0.49604897969387723
MAE,train,0.5038190717975503
MAE,train,0.5008304217245861
MAE,train,0.5016174246741085
MAE,train,0.4941347295391294
MAE,train,0.5089736172011118
MAE,train,0.5016875613410516
MAE,test,0.8117950959037211
MAE,test,0.8091547785180846
MAE,test,0.7946981568564799
MAE,test,0.8137203324945705
MAE,test,0.7788447821753658
MAE,test,0.7480705445864557
MAE,test,0.8294010615613562
MAE,test,0.8334832568936376
MAE,test,0.793967115168086
MAE,test,0.6869977394656792
Fit_time,train,2.2142183780670166
Fit_time,train,1.9848103523254395
Fit_time,train,1.9816792011260986
Fit_time,train,1.9354467391967773
Fit_time,train,2.021056890487671
Fit_time,train,2.1801345348358154
Fit_time,train,1.9973759651184082
Fit_time,train,1.933042049407959
Fit_time,train,1.9646639823913574
Fit_time,train,2.005828380584717
Fit_time,test,0.005295515060424805
Fit_time,test,0.006000041961669922
Fit_time,test,0.005477428436279297
Fit_time,test,0.005000591278076172
Fit_time,test,0.005000591278076172
Fit_time,test,0.003998517990112305
Fit_time,test,0.00400090217590332
Fit_time,test,0.0053501129150390625
Fit_time,test,0.004999876022338867
Fit_time,test,0.004998683929443359
