metric,dataset,value
RMSE,train,0.7512540642490237
RMSE,train,0.7401573200250939
RMSE,train,0.740684878179199
RMSE,train,0.7504372676876516
RMSE,train,0.7486688132455129
RMSE,train,0.7541309192680448
RMSE,train,0.7432326270818811
RMSE,train,0.7602016448349465
RMSE,train,0.7491020447001564
RMSE,train,0.7535432948820233
RMSE,test,1.065880339429903
RMSE,test,1.0527503170347554
RMSE,test,1.0883061823817157
RMSE,test,1.1294095009353478
RMSE,test,1.0452089609194577
RMSE,test,0.990169408600529
RMSE,test,1.0880716674922353
RMSE,test,1.1315867648557407
RMSE,test,1.0760463728907799
RMSE,test,0.921728373616579
R2,train,0.7790852584773412
R2,train,0.7891666800892612
R2,train,0.7844295527258758
R2,train,0.7797205801335492
R2,train,0.783342898437263
R2,train,0.7819284125462787
R2,train,0.785865781452798
R2,train,0.7721340366006413
R2,train,0.7848961419829519
R2,train,0.7830956338618389
R2,test,0.5925694662424934
R2,test,0.5388244358212425
R2,test,0.5897689374447543
R2,test,0.5412088630964527
R2,test,0.5645539399874462
R2,test,0.5773460446268943
R2,test,0.5400388257696929
R2,test,0.567501915738652
R2,test,0.49888278912149
R2,test,0.6176326256212403
MAE,train,0.5752780012947919
MAE,train,0.5635644560300758
MAE,train,0.5674811801005063
MAE,train,0.5735395001532114
MAE,train,0.568901885912427
MAE,train,0.579683047091015
MAE,train,0.5694510327755292
MAE,train,0.5787422799595149
MAE,train,0.5698236999700186
MAE,train,0.5751605632875887
MAE,test,0.7980597491317067
MAE,test,0.79739337416728
MAE,test,0.8228796973807719
MAE,test,0.8541558756228774
MAE,test,0.8015349777295924
MAE,test,0.7302200548600979
MAE,test,0.7997108084055277
MAE,test,0.8691499989834173
MAE,test,0.8278452521003677
MAE,test,0.7070001666067431
