metric,dataset,value
RMSE,train,1.555019382058619
RMSE,train,1.5865590537287657
RMSE,train,1.5599697743311522
RMSE,train,1.530821996600411
RMSE,train,1.5487548897347525
RMSE,train,1.5543763839387734
RMSE,train,1.533456604134783
RMSE,train,1.537475948049193
RMSE,train,1.5484848854086772
RMSE,train,1.555417398134515
RMSE,test,1.7152014786248402
RMSE,test,1.747101568138409
RMSE,test,1.7152124824847506
RMSE,test,2.0360722416506345
RMSE,test,2.1438284911163135
RMSE,test,1.9353870626544505
RMSE,test,2.1602934513476515
RMSE,test,2.011253473668675
RMSE,test,1.954975582453671
RMSE,test,1.8459173795776478
R2,train,0.7337903865621703
R2,train,0.7202842816828344
R2,train,0.7356740453076522
R2,train,0.7400492172196315
R2,train,0.7322169722553415
R2,train,0.7326031968995601
R2,train,0.7404602130243985
R2,train,0.7405664457784846
R2,train,0.7295793875562434
R2,train,0.7352882868934754
R2,test,0.6631070074673617
R2,test,0.6736930766180096
R2,test,0.6141445816721482
R2,test,0.5564996921650212
R2,test,0.5338472070811837
R2,test,0.5809406146134011
R2,test,0.4763799824781735
R2,test,0.5225581379231237
R2,test,0.6304432627738246
R2,test,0.5829933612541219
MAE,train,1.1886995100435753
MAE,train,1.2131063143007652
MAE,train,1.1932626354624312
MAE,train,1.1709686345169203
MAE,train,1.188359457823311
MAE,train,1.1947162323747857
MAE,train,1.181007147275512
MAE,train,1.1812333366138315
MAE,train,1.179399381664517
MAE,train,1.1940920876541943
MAE,test,1.3458193720158724
MAE,test,1.380352508398634
MAE,test,1.3541363456475113
MAE,test,1.5257301851304501
MAE,test,1.6789133779400403
MAE,test,1.4409970258200253
MAE,test,1.6675879660579538
MAE,test,1.5071629753626636
MAE,test,1.5083815629536472
MAE,test,1.411336989825057
