metric,dataset,value
RMSE,train,2.4524144400974595
RMSE,train,2.4738827235396346
RMSE,train,2.366279856094972
RMSE,train,2.6066913624379833
RMSE,train,2.309974012517691
RMSE,train,2.5502530963431287
RMSE,train,2.2621498553541084
RMSE,train,2.4086117734182126
RMSE,train,2.3530908224959775
RMSE,train,2.417749348733148
RMSE,test,2.3171126268036626
RMSE,test,2.1956538142076227
RMSE,test,2.2186124517223598
RMSE,test,2.7523816805848162
RMSE,test,2.646486086686485
RMSE,test,2.3984529078482595
RMSE,test,2.750315388020353
RMSE,test,2.534815408279809
RMSE,test,2.767232309298496
RMSE,test,2.266056729979439
R2,train,0.3378751873970032
R2,train,0.3199159502983093
R2,train,0.39180946350097656
R2,train,0.24626106023788452
R2,train,0.40429413318634033
R2,train,0.28020238876342773
R2,train,0.4351882338523865
R2,train,0.3632879853248596
R2,train,0.3755420446395874
R2,train,0.3604097366333008
R2,test,0.3851686716079712
R2,test,0.4846317172050476
R2,test,0.35441768169403076
R2,test,0.18955260515213013
R2,test,0.289625346660614
R2,test,0.3564203977584839
R2,test,0.15129691362380981
R2,test,0.24163281917572021
R2,test,0.259560227394104
R2,test,0.37156546115875244
MAE,train,1.9324686527252197
MAE,train,1.9477932453155518
MAE,train,1.8692964315414429
MAE,train,2.0801661014556885
MAE,train,1.8096163272857666
MAE,train,2.0066823959350586
MAE,train,1.7583287954330444
MAE,train,1.8902535438537598
MAE,train,1.8436992168426514
MAE,train,1.9162436723709106
MAE,test,1.7990485429763794
MAE,test,1.6490356922149658
MAE,test,1.7200367450714111
MAE,test,2.1729941368103027
MAE,test,2.0725274085998535
MAE,test,1.9169809818267822
MAE,test,2.2188498973846436
MAE,test,1.9938956499099731
MAE,test,2.2620551586151123
MAE,test,1.7895033359527588
