metric,dataset,value
RMSE,train,0.8110295100708971
RMSE,train,0.8556461232890024
RMSE,train,0.8551369365610292
RMSE,train,0.8357347126483565
RMSE,train,0.8182638119749467
RMSE,train,0.8066829313142834
RMSE,train,0.8566346225109318
RMSE,train,0.8512400366008849
RMSE,train,0.8458652507681911
RMSE,train,0.832868761658555
RMSE,test,1.6550814423101323
RMSE,test,1.6271559961925839
RMSE,test,1.713434041239859
RMSE,test,1.8634811879606437
RMSE,test,2.0496206113852504
RMSE,test,1.8937395654470208
RMSE,test,1.900905846700864
RMSE,test,1.83184298920801
RMSE,test,1.8313939535518742
RMSE,test,1.578341210490513
R2,train,0.9275855168734696
R2,train,0.9186434052858662
R2,train,0.920571058779638
R2,train,0.9225219603216667
R2,train,0.9252511774275717
R2,train,0.9279805886029818
R2,train,0.9190061189554258
R2,train,0.920473188957799
R2,train,0.9193084201186623
R2,train,0.924101638501174
R2,test,0.6863101755816904
R2,test,0.7169596430126195
R2,test,0.6149443256556663
R2,test,0.6285010546686576
R2,test,0.5739160516927427
R2,test,0.5987819986186922
R2,test,0.594573664904159
R2,test,0.603937819335712
R2,test,0.675688759633519
R2,test,0.6951261019144727
MAE,train,0.6267636262326595
MAE,train,0.658901475561342
MAE,train,0.661794978740257
MAE,train,0.641888432655128
MAE,train,0.6294802419700137
MAE,train,0.6237607356310139
MAE,train,0.6616946189204326
MAE,train,0.6547552995479023
MAE,train,0.6528566520258956
MAE,train,0.6400273261520016
MAE,test,1.253918565635912
MAE,test,1.2379643231812731
MAE,test,1.3014770180143427
MAE,test,1.393125323086796
MAE,test,1.5636921943216673
MAE,test,1.3829234163325215
MAE,test,1.4523195252946428
MAE,test,1.4093379552196366
MAE,test,1.3456451745552365
MAE,test,1.2217327903998358
