metric,dataset,value
RMSE,train,1.0119341299502633
RMSE,train,0.9732578320706511
RMSE,train,1.0073275519490876
RMSE,train,0.9762794205223948
RMSE,train,0.9647449445621988
RMSE,train,0.9434570738763105
RMSE,train,0.9835370960403138
RMSE,train,0.9559200231061861
RMSE,train,0.9795158936479625
RMSE,train,1.0058925045223084
RMSE,test,1.6229204122853766
RMSE,test,1.7407695476388267
RMSE,test,1.7190661938185634
RMSE,test,1.8659579818988359
RMSE,test,2.0691578306442344
RMSE,test,1.948701307434598
RMSE,test,1.9286939687583982
RMSE,test,1.7903885935013955
RMSE,test,1.885395831950421
RMSE,test,1.6602808666181466
R2,train,0.8872655606533012
R2,train,0.8947407665639469
R2,train,0.8897829284602787
R2,train,0.8942720014843831
R2,train,0.8960935063864278
R2,train,0.9014882299966623
R2,train,0.8932316692069453
R2,train,0.8997111614495025
R2,train,0.8917946272776749
R2,train,0.8892911351687649
R2,test,0.6983827762993171
R2,test,0.6760540588682808
R2,test,0.6124087665821585
R2,test,0.6275128635112783
R2,test,0.5657543748454006
R2,test,0.5751550527211206
R2,test,0.5826336921994923
R2,test,0.621660674261877
R2,test,0.6562810040254272
R2,test,0.6626493296039835
MAE,train,0.773002806580325
MAE,train,0.7456484681237483
MAE,train,0.7668861598388862
MAE,train,0.7421723165708803
MAE,train,0.7381671475492023
MAE,train,0.7230457504279376
MAE,train,0.7496469841871671
MAE,train,0.7323769542716547
MAE,train,0.7501458161803795
MAE,train,0.7718550917853512
MAE,test,1.2388937575555703
MAE,test,1.3294977774955756
MAE,test,1.3269017495287663
MAE,test,1.413303534247806
MAE,test,1.5863005689195337
MAE,test,1.4356919821519731
MAE,test,1.4688217414328608
MAE,test,1.3423852241874055
MAE,test,1.397986767775051
MAE,test,1.2450368205767364
