metric,dataset,value
RMSE,train,1.2564704739288703
RMSE,train,1.2789565890582504
RMSE,train,1.2663691085402793
RMSE,train,1.2843404597345391
RMSE,train,1.2580121194671636
RMSE,train,1.2739224818332116
RMSE,train,1.2677969773902826
RMSE,train,1.285289952192606
RMSE,train,1.2616750886072672
RMSE,train,1.296967851063408
RMSE,test,1.7347454072913089
RMSE,test,1.6299669905956273
RMSE,test,1.7288000396152163
RMSE,test,1.7715912543784584
RMSE,test,2.0441325415891747
RMSE,test,1.910043493735108
RMSE,test,1.9083089191592302
RMSE,test,1.8235288727417651
RMSE,test,1.7813420345883009
RMSE,test,1.754276181044699
R2,train,0.8261972288426458
R2,train,0.818232599749779
R2,train,0.825808059171224
R2,train,0.8170206545972446
R2,train,0.8233200300584739
R2,train,0.820390279891125
R2,train,0.8225972337946985
R2,train,0.8186941950171913
R2,train,0.820476665187081
R2,train,0.815949214293312
R2,test,0.6553857866922039
R2,test,0.7159808651913009
R2,test,0.6080070343889417
R2,test,0.6642356252225576
R2,test,0.5761947639676286
R2,test,0.591843781266391
R2,test,0.591409652322028
R2,test,0.6075248455392078
R2,test,0.6931733477971362
R2,test,0.6233704556091679
MAE,train,0.9799535140227448
MAE,train,0.9882982322300251
MAE,train,0.9837564531854184
MAE,train,0.9969887489092181
MAE,train,0.9752506475377191
MAE,train,0.98802805535563
MAE,train,0.980308392771163
MAE,train,0.9921711668920059
MAE,train,0.9822306300966122
MAE,train,1.0035116409825933
MAE,test,1.3390724406845578
MAE,test,1.2745980731807145
MAE,test,1.2923431762623379
MAE,test,1.3466351623155586
MAE,test,1.5634089671302456
MAE,test,1.4199765067728938
MAE,test,1.4392085127670122
MAE,test,1.4273570681583594
MAE,test,1.3747598693115102
MAE,test,1.3537005332364427
