metric,dataset,value
RMSE,train,2.266189715282698
RMSE,train,2.2763327289527804
RMSE,train,2.27034000555968
RMSE,train,2.225799108442309
RMSE,train,2.1897281742796038
RMSE,train,2.2580571553554187
RMSE,train,2.1816013916640675
RMSE,train,2.241314335850151
RMSE,train,2.220555927158978
RMSE,train,2.2637624516768695
RMSE,test,2.430104406963095
RMSE,test,2.3392566587584303
RMSE,test,2.334010116882103
RMSE,test,2.864812298496227
RMSE,test,2.896267224928632
RMSE,test,2.5529228438579756
RMSE,test,2.895477510908057
RMSE,test,2.523598680574656
RMSE,test,2.8531260763043047
RMSE,test,2.7077133838543554
R2,train,0.43461453914642334
R2,train,0.4241943955421448
R2,train,0.4401273727416992
R2,train,0.45044177770614624
R2,train,0.4646989703178406
R2,train,0.43569523096084595
R2,train,0.47469472885131836
R2,train,0.44866567850112915
R2,train,0.44390469789505005
R2,train,0.43928658962249756
R2,test,0.3237433433532715
R2,test,0.4150136709213257
R2,test,0.2855132222175598
R2,test,0.1219891905784607
R2,test,0.14920389652252197
R2,test,0.2708527445793152
R2,test,0.05934321880340576
R2,test,0.24832963943481445
R2,test,0.2128809094429016
R2,test,0.10272848606109619
MAE,train,1.7922180891036987
MAE,train,1.801160454750061
MAE,train,1.7895619869232178
MAE,train,1.760462999343872
MAE,train,1.741001009941101
MAE,train,1.7970654964447021
MAE,train,1.720667839050293
MAE,train,1.770787239074707
MAE,train,1.759116530418396
MAE,train,1.7920475006103516
MAE,test,1.968398928642273
MAE,test,1.873525619506836
MAE,test,1.8703653812408447
MAE,test,2.208138942718506
MAE,test,2.378880023956299
MAE,test,2.0163166522979736
MAE,test,2.3397326469421387
MAE,test,2.0019614696502686
MAE,test,2.337258815765381
MAE,test,2.224773645401001
