metric,dataset,value
RMSE,train,2.249272758786806
RMSE,train,2.2574217567107167
RMSE,train,2.2824776886333162
RMSE,train,2.2281138587020384
RMSE,train,2.335192201043462
RMSE,train,2.308332967471244
RMSE,train,2.295110323047347
RMSE,train,2.24508469181844
RMSE,train,2.2911824379474326
RMSE,train,2.326783990916854
RMSE,test,2.6296120952962845
RMSE,test,2.516323679694731
RMSE,test,2.5012154485555165
RMSE,test,2.9009266984075435
RMSE,test,2.911705393308931
RMSE,test,2.661538010292303
RMSE,test,2.9996024504148324
RMSE,test,2.6081778698335927
RMSE,test,2.927878021930509
RMSE,test,2.874122319803368
R2,train,0.4430241584777832
R2,train,0.4337218999862671
R2,train,0.43412500619888306
R2,train,0.4492982029914856
R2,train,0.3912164568901062
R2,train,0.41028696298599243
R2,train,0.41860926151275635
R2,train,0.44680923223495483
R2,train,0.4079679846763611
R2,train,0.4076322913169861
R2,test,0.2081460952758789
R2,test,0.3231024146080017
R2,test,0.17947667837142944
R2,test,0.09971296787261963
R2,test,0.14010965824127197
R2,test,0.20748913288116455
R2,test,-0.00952756404876709
R2,test,0.19710034132003784
R2,test,0.17109555006027222
R2,test,-0.0109483003616333
MAE,train,1.784797191619873
MAE,train,1.7897746562957764
MAE,train,1.7981141805648804
MAE,train,1.7673885822296143
MAE,train,1.8436009883880615
MAE,train,1.845860481262207
MAE,train,1.8133344650268555
MAE,train,1.776366114616394
MAE,train,1.8162504434585571
MAE,train,1.8309975862503052
MAE,test,2.1557834148406982
MAE,test,2.0080153942108154
MAE,test,2.0278007984161377
MAE,test,2.3025147914886475
MAE,test,2.3753719329833984
MAE,test,2.122363328933716
MAE,test,2.470024824142456
MAE,test,2.093806743621826
MAE,test,2.3270037174224854
MAE,test,2.2811837196350098
