metric,dataset,value
RMSE,train,2.0021902250983166
RMSE,train,2.0801785297070303
RMSE,train,1.9358323826857997
RMSE,train,2.0368967064130756
RMSE,train,1.9967756506333911
RMSE,train,2.060546875
RMSE,train,1.9711802786795778
RMSE,train,1.9996593304411716
RMSE,train,1.990438374105579
RMSE,train,1.9981526545381894
RMSE,test,1.8703339055237853
RMSE,test,1.9528952501589176
RMSE,test,1.8285759915673852
RMSE,test,2.086896354518051
RMSE,test,2.0112873096218014
RMSE,test,2.104853552573956
RMSE,test,2.094220236738099
RMSE,test,2.089822986535288
RMSE,test,2.0635860935790378
RMSE,test,1.8120842818644165
R2,train,0.5586706399917603
R2,train,0.51915442943573
R2,train,0.5929545164108276
R2,train,0.5397648811340332
R2,train,0.5548809766769409
R2,train,0.5300962924957275
R2,train,0.5711418390274048
R2,train,0.5611445903778076
R2,train,0.5531895756721497
R2,train,0.5631457567214966
R2,test,0.5994100570678711
R2,test,0.5922932624816895
R2,test,0.5614544153213501
R2,test,0.534082293510437
R2,test,0.5897047519683838
R2,test,0.5043402314186096
R2,test,0.5079202651977539
R2,test,0.484527051448822
R2,test,0.5882405042648315
R2,test,0.5981395244598389
MAE,train,1.5470929145812988
MAE,train,1.6279895305633545
MAE,train,1.5004093647003174
MAE,train,1.586310863494873
MAE,train,1.550113320350647
MAE,train,1.6011801958084106
MAE,train,1.5353010892868042
MAE,train,1.5525658130645752
MAE,train,1.5687857866287231
MAE,train,1.5337268114089966
MAE,test,1.4522974491119385
MAE,test,1.5521693229675293
MAE,test,1.4179599285125732
MAE,test,1.6256237030029297
MAE,test,1.5566105842590332
MAE,test,1.644809603691101
MAE,test,1.6616672277450562
MAE,test,1.5911418199539185
MAE,test,1.5567113161087036
MAE,test,1.4140934944152832
