metric,dataset,value
RMSE,train,0.3418875644041081
RMSE,train,0.3485796425338763
RMSE,train,0.3484291261003847
RMSE,train,0.34065926982324995
RMSE,train,0.3448612842379117
RMSE,train,0.34221574537136934
RMSE,train,0.3503075385778538
RMSE,train,0.3478809816103248
RMSE,train,0.34549430084134986
RMSE,train,0.3465617372292128
RMSE,test,0.5089988717729245
RMSE,test,0.5141038032869983
RMSE,test,0.5179991275843885
RMSE,test,0.5199459958566275
RMSE,test,0.5126994562519962
RMSE,test,0.49588091785815347
RMSE,test,0.47307010130107724
RMSE,test,0.5535878316392954
RMSE,test,0.47459096253573385
RMSE,test,0.5402605277358105
R2,train,0.7000187225667829
R2,train,0.6882530277057017
R2,train,0.6847370145724343
R2,train,0.6991245947410436
R2,train,0.6945648310040289
R2,train,0.7008914586990326
R2,train,0.6873200472451635
R2,train,0.68485590050434
R2,train,0.696173959358789
R2,train,0.6929842926313885
R2,test,0.3261774269239178
R2,test,0.3115995495354088
R2,test,0.3675551482033864
R2,test,0.355949467415801
R2,test,0.31859791148280225
R2,test,0.3319007233274349
R2,test,0.37239231204284184
R2,test,0.2814716962201974
R2,test,0.3670058873156402
R2,test,0.20807447572151383
MAE,train,0.2693068248250699
MAE,train,0.2735666706670647
MAE,train,0.2758638723792989
MAE,train,0.26912428451647946
MAE,train,0.27265730255640663
MAE,train,0.2700114356287317
MAE,train,0.2759701755645812
MAE,train,0.27400945959357625
MAE,train,0.2731717755638938
MAE,train,0.2720460964084912
MAE,test,0.41428727653473785
MAE,test,0.4152599769098473
MAE,test,0.4096231478776407
MAE,test,0.4135099367635782
MAE,test,0.3995339108046621
MAE,test,0.40028696228189065
MAE,test,0.3923129896488745
MAE,test,0.44317881762249434
MAE,test,0.3856685120883545
MAE,test,0.4369758920576107
Fit_time,train,3.5130138397216797
Fit_time,train,3.6112217903137207
Fit_time,train,3.3707895278930664
Fit_time,train,3.6035938262939453
Fit_time,train,3.5498056411743164
Fit_time,train,3.503201723098755
Fit_time,train,3.369568109512329
Fit_time,train,3.3646814823150635
Fit_time,train,3.513239622116089
Fit_time,train,3.4668691158294678
Fit_time,test,0.0069997310638427734
Fit_time,test,0.007003307342529297
Fit_time,test,0.006999492645263672
Fit_time,test,0.008739233016967773
Fit_time,test,0.007999658584594727
Fit_time,test,0.006999969482421875
Fit_time,test,0.0069997310638427734
Fit_time,test,0.011014223098754883
Fit_time,test,0.006999492645263672
Fit_time,test,0.006999969482421875
