metric,dataset,value
RMSE,train,0.2883714357854456
RMSE,train,0.29239633105983515
RMSE,train,0.3015702810608704
RMSE,train,0.2969340723631706
RMSE,train,0.28846486326252646
RMSE,train,0.2952198131899807
RMSE,train,0.29588221583380664
RMSE,train,0.2886002360785165
RMSE,train,0.3001770026258525
RMSE,train,0.2944685904568404
RMSE,test,0.5338658172016137
RMSE,test,0.5177585053492438
RMSE,test,0.5438828792047642
RMSE,test,0.5283377216429734
RMSE,test,0.5174360835812247
RMSE,test,0.47647913233927075
RMSE,test,0.48776958364344875
RMSE,test,0.5569037178881617
RMSE,test,0.5009234234302665
RMSE,test,0.5294961629498702
R2,train,0.7865815207013602
R2,train,0.7806477762236232
R2,train,0.7638319400356599
R2,train,0.7714052063456989
R2,train,0.7862943512351925
R2,train,0.7774027258241245
R2,train,0.7769312180989874
R2,train,0.7831091801000329
R2,train,0.7706503657370876
R2,train,0.7783451052030945
R2,test,0.2587304761527204
R2,test,0.30177724851448284
R2,test,0.30277109878974895
R2,test,0.334992251301532
R2,test,0.3059493442445088
R2,test,0.38315793948439225
R2,test,0.3327836451022136
R2,test,0.27283822011662395
R2,test,0.29481441995984237
R2,test,0.23931737164445444
MAE,train,0.22720086097299427
MAE,train,0.2308574957471481
MAE,train,0.2373923605290022
MAE,train,0.23401925140582716
MAE,train,0.22981038013267518
MAE,train,0.2329976374954693
MAE,train,0.23329486752296955
MAE,train,0.22724687118304193
MAE,train,0.2365991630794694
MAE,train,0.23106897702743182
MAE,test,0.43902081067038967
MAE,test,0.4295425230288705
MAE,test,0.44984842017878063
MAE,test,0.4284506064468557
MAE,test,0.40710248588921255
MAE,test,0.3943151679310598
MAE,test,0.4036591958073983
MAE,test,0.45695482094354756
MAE,test,0.4085725687504311
MAE,test,0.43243974086441933
Fit_time,train,2.7632479667663574
Fit_time,train,2.6480937004089355
Fit_time,train,2.5410783290863037
Fit_time,train,2.5898327827453613
Fit_time,train,2.6470541954040527
Fit_time,train,2.661661386489868
Fit_time,train,2.6933693885803223
Fit_time,train,2.639545202255249
Fit_time,train,2.579838991165161
Fit_time,train,2.6265511512756348
Fit_time,test,0.0070002079010009766
Fit_time,test,0.006000041961669922
Fit_time,test,0.006003618240356445
Fit_time,test,0.005999326705932617
Fit_time,test,0.007000446319580078
Fit_time,test,0.006999969482421875
Fit_time,test,0.0070040225982666016
Fit_time,test,0.006999969482421875
Fit_time,test,0.006999969482421875
Fit_time,test,0.006509542465209961
