metric,dataset,value
RMSE,train,0.4101302547391427
RMSE,train,0.42427575516961996
RMSE,train,0.4442430000784116
RMSE,train,0.4641497905592244
RMSE,train,0.4349540644814823
RMSE,train,0.4677219720931967
RMSE,train,0.43974096408319835
RMSE,train,0.4527352235142653
RMSE,train,0.4615697726875762
RMSE,train,0.46412596862593264
RMSE,test,0.45725458345259024
RMSE,test,0.4622194276812075
RMSE,test,0.4916288141722917
RMSE,test,0.5037698487188474
RMSE,test,0.47751217943906094
RMSE,test,0.48190225578539275
RMSE,test,0.45420235776503454
RMSE,test,0.49574608522697955
RMSE,test,0.47837539486536096
RMSE,test,0.5437661771450591
R2,train,0.5683108568191528
R2,train,0.5381567478179932
R2,train,0.48751014471054077
R2,train,0.4414493441581726
R2,train,0.5141335725784302
R2,train,0.4412669539451599
R2,train,0.5072859525680542
R2,train,0.46625185012817383
R2,train,0.4577270746231079
R2,train,0.4493556618690491
R2,test,0.45621395111083984
R2,test,0.44353747367858887
R2,test,0.4303091764450073
R2,test,0.3954005241394043
R2,test,0.40891945362091064
R2,test,0.36903661489486694
R2,test,0.4214564561843872
R2,test,0.4237786531448364
R2,test,0.35687053203582764
R2,test,0.19776380062103271
MAE,train,0.31851422786712646
MAE,train,0.3304865062236786
MAE,train,0.35225215554237366
MAE,train,0.3697664737701416
MAE,train,0.34217530488967896
MAE,train,0.3689340054988861
MAE,train,0.34630924463272095
MAE,train,0.35790181159973145
MAE,train,0.3631684184074402
MAE,train,0.3622351288795471
MAE,test,0.34777411818504333
MAE,test,0.3672802448272705
MAE,test,0.38562971353530884
MAE,test,0.39328956604003906
MAE,test,0.3688582479953766
MAE,test,0.39068666100502014
MAE,test,0.3659512400627136
MAE,test,0.3804449141025543
MAE,test,0.3770599961280823
MAE,test,0.41764989495277405
Fit_time,train,197.22261714935303
Fit_time,train,193.2347891330719
Fit_time,train,190.02682423591614
Fit_time,train,191.34906363487244
Fit_time,train,193.67846202850342
Fit_time,train,190.30842447280884
Fit_time,train,172.3080792427063
Fit_time,train,192.74603700637817
Fit_time,train,191.59621000289917
Fit_time,train,193.0078945159912
Fit_time,test,0.06812667846679688
Fit_time,test,0.06951785087585449
Fit_time,test,0.07452988624572754
Fit_time,test,0.0690011978149414
Fit_time,test,0.07051587104797363
Fit_time,test,0.06800365447998047
Fit_time,test,0.06751704216003418
Fit_time,test,0.06651473045349121
Fit_time,test,0.07100486755371094
Fit_time,test,0.07100939750671387
