metric,dataset,value
RMSE,train,0.3718918102548105
RMSE,train,0.3767502563133162
RMSE,train,0.37320687708746914
RMSE,train,0.36852154230552775
RMSE,train,0.37132707741641874
RMSE,train,0.3828143874630183
RMSE,train,0.3760990701526242
RMSE,train,0.3698949584290414
RMSE,train,0.3845772521289198
RMSE,train,0.3762111493826053
RMSE,test,0.5436547076196665
RMSE,test,0.5138216370826
RMSE,test,0.5513409271540177
RMSE,test,0.5595211640630989
RMSE,test,0.5125729906331277
RMSE,test,0.489867883279439
RMSE,test,0.5009655410515422
RMSE,test,0.5590869993708311
RMSE,test,0.5027367148162483
RMSE,test,0.542055533555753
R2,train,0.6450552388804562
R2,train,0.6358290351542484
R2,train,0.6383042911581913
R2,train,0.6478951347953479
R2,train,0.645885754202173
R2,train,0.6257124830092127
R2,train,0.6395827320489724
R2,train,0.6437091817694305
R2,train,0.6235473119933187
R2,train,0.6382048876039539
R2,test,0.2312976257861291
R2,test,0.3123550002271962
R2,test,0.2835183541057502
R2,test,0.25417574211245375
R2,test,0.3189340277305329
R2,test,0.3480051833499338
R2,test,0.2961940064186709
R2,test,0.2671255239948307
R2,test,0.28969978058850965
R2,test,0.2028034173187777
MAE,train,0.29586733895005346
MAE,train,0.29839890075270675
MAE,train,0.29466773524958734
MAE,train,0.2919935384789571
MAE,train,0.2955128920453197
MAE,train,0.30425022254815043
MAE,train,0.29740371988223185
MAE,train,0.29243085098578475
MAE,train,0.3067853402378869
MAE,train,0.2988331057590637
MAE,test,0.43466968281234186
MAE,test,0.4266723907053185
MAE,test,0.45696448283819546
MAE,test,0.4494470644515201
MAE,test,0.40237940513031845
MAE,test,0.405303971459867
MAE,test,0.42033103135449057
MAE,test,0.46171348876125784
MAE,test,0.40296232902019047
MAE,test,0.4327892083986579
Fit_time,train,0.7771322727203369
Fit_time,train,0.9064047336578369
Fit_time,train,0.8871817588806152
Fit_time,train,0.9057824611663818
Fit_time,train,0.7900254726409912
Fit_time,train,0.8272480964660645
Fit_time,train,0.8791778087615967
Fit_time,train,0.823418378829956
Fit_time,train,0.7511346340179443
Fit_time,train,0.8138325214385986
Fit_time,test,0.005000114440917969
Fit_time,test,0.005185127258300781
Fit_time,test,0.005000114440917969
Fit_time,test,0.006000041961669922
Fit_time,test,0.0049991607666015625
Fit_time,test,0.005015373229980469
Fit_time,test,0.004999876022338867
Fit_time,test,0.005000591278076172
Fit_time,test,0.004999399185180664
Fit_time,test,0.005000114440917969
