metric,dataset,value
RMSE,train,0.3444983900750374
RMSE,train,0.3390603147353395
RMSE,train,0.3429924711392705
RMSE,train,0.3420807066790903
RMSE,train,0.34355997727373494
RMSE,train,0.34304653377192235
RMSE,train,0.3460786679036001
RMSE,train,0.3362469170439151
RMSE,train,0.35017294038953756
RMSE,train,0.332792352131825
RMSE,test,0.4904279057674494
RMSE,test,0.529507485967892
RMSE,test,0.5326115675743873
RMSE,test,0.5207479484359179
RMSE,test,0.515289539404292
RMSE,test,0.46367709339947705
RMSE,test,0.4709349707146321
RMSE,test,0.5269790531406572
RMSE,test,0.48375976249920166
RMSE,test,0.5375140942668872
R2,train,0.6954196124958594
R2,train,0.7050474701583327
R2,train,0.6944985647899414
R2,train,0.6966084873667362
R2,train,0.6968655532325858
R2,train,0.6994374195815553
R2,train,0.6948237502280845
R2,train,0.7055819522181278
R2,train,0.687889496426312
R2,train,0.7168959738119892
R2,test,0.3744496603207039
R2,test,0.26972956077898447
R2,test,0.33137009935074857
R2,test,0.3539611982219125
R2,test,0.31169583258700284
R2,test,0.4158592666719436
R2,test,0.37804475284674977
R2,test,0.34888527789510015
R2,test,0.3423115306406448
R2,test,0.21610557324968327
MAE,train,0.2688936327594705
MAE,train,0.2627682902102323
MAE,train,0.267960024833465
MAE,train,0.26591771148098725
MAE,train,0.2671882940055965
MAE,train,0.26911628267390647
MAE,train,0.26958533034028864
MAE,train,0.2619344374041233
MAE,train,0.27282169128294287
MAE,train,0.258510256512553
MAE,test,0.3866928541688764
MAE,test,0.4225648172742355
MAE,test,0.4289118539833266
MAE,test,0.4108457734545859
MAE,test,0.3974085371612869
MAE,test,0.36792896481189913
MAE,test,0.3795441244894354
MAE,test,0.42293725695083667
MAE,test,0.3935298565801645
MAE,test,0.42321055851719586
Fit_time,train,0.948082447052002
Fit_time,train,0.95619797706604
Fit_time,train,0.9640724658966064
Fit_time,train,0.9710009098052979
Fit_time,train,0.9708328247070312
Fit_time,train,0.9605162143707275
Fit_time,train,0.9869523048400879
Fit_time,train,1.0187697410583496
Fit_time,train,0.9842402935028076
Fit_time,train,1.0064749717712402
Fit_time,test,0.003999948501586914
Fit_time,test,0.004004478454589844
Fit_time,test,0.005508899688720703
Fit_time,test,0.005000114440917969
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999876022338867
Fit_time,test,0.005000114440917969
Fit_time,test,0.005003690719604492
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003999471664428711
