metric,dataset,value
RMSE,train,0.36464823380220396
RMSE,train,0.36466698438536044
RMSE,train,0.3654839986450986
RMSE,train,0.3640801882325371
RMSE,train,0.36451565112756656
RMSE,train,0.36438266086553184
RMSE,train,0.3664723619272097
RMSE,train,0.3644173147002599
RMSE,train,0.3661847772518165
RMSE,train,0.36135549513443704
RMSE,test,0.5372834787204963
RMSE,test,0.5364839516491009
RMSE,test,0.5535632808837038
RMSE,test,0.5383517204106798
RMSE,test,0.5249427425987594
RMSE,test,0.5050904406183361
RMSE,test,0.5082698245249104
RMSE,test,0.5603523073182124
RMSE,test,0.5227758419415873
RMSE,test,0.5495026940354969
R2,train,0.6587475561324048
R2,train,0.6588140841485522
R2,train,0.6531187575927423
R2,train,0.6563309994515175
R2,train,0.6587579673778489
R2,train,0.6608871510181191
R2,train,0.6577972263059002
R2,train,0.6541834182606449
R2,train,0.6586941038604122
R2,train,0.6662135534556171
R2,test,0.24920929185846674
R2,test,0.2503596022522486
R2,test,0.2777307019856943
R2,test,0.30954452425858014
R2,test,0.28566551169783494
R2,test,0.30685434218445773
R2,test,0.27552082417204493
R2,test,0.2638045337682937
R2,test,0.23194598573661296
R2,test,0.18074798962602567
MAE,train,0.3053403104648123
MAE,train,0.3054454015686002
MAE,train,0.3068624157768769
MAE,train,0.30566247511618594
MAE,train,0.3066636561142322
MAE,train,0.3058315949401924
MAE,train,0.30685754372562823
MAE,train,0.30548434249895773
MAE,train,0.3077814044765885
MAE,train,0.303732130154367
MAE,test,0.43970297197419694
MAE,test,0.4500422285832032
MAE,test,0.46802868854284446
MAE,test,0.43990846360405983
MAE,test,0.43236533834743807
MAE,test,0.41787649783367165
MAE,test,0.42918494164376114
MAE,test,0.4746797941699957
MAE,test,0.43089646922147434
MAE,test,0.4565496300878648
Fit_time,train,1.9906182289123535
Fit_time,train,2.0334055423736572
Fit_time,train,2.0459940433502197
Fit_time,train,2.1012165546417236
Fit_time,train,2.202631711959839
Fit_time,train,2.1292836666107178
Fit_time,train,2.0189614295959473
Fit_time,train,2.058976173400879
Fit_time,train,2.006169557571411
Fit_time,train,2.0235846042633057
Fit_time,test,0.00599980354309082
Fit_time,test,0.006009817123413086
Fit_time,test,0.0060002803802490234
Fit_time,test,0.009510517120361328
Fit_time,test,0.0110015869140625
Fit_time,test,0.0069997310638427734
Fit_time,test,0.006999015808105469
Fit_time,test,0.00599980354309082
Fit_time,test,0.0069997310638427734
Fit_time,test,0.006508588790893555
