metric,dataset,value
RMSE,train,0.22107084411746986
RMSE,train,0.20964085332956564
RMSE,train,0.2179106549466458
RMSE,train,0.21618474855130565
RMSE,train,0.2116745241010233
RMSE,train,0.21960480601451052
RMSE,train,0.22047774867638997
RMSE,train,0.2240984454377874
RMSE,train,0.2211108450464331
RMSE,train,0.21381095251411533
RMSE,test,0.48479680184711615
RMSE,test,0.4891355289375939
RMSE,test,0.48822625422709487
RMSE,test,0.5032288781730295
RMSE,test,0.5114751046481045
RMSE,test,0.4348836219428508
RMSE,test,0.46480515263700306
RMSE,test,0.49725221554400195
RMSE,test,0.46498887817864415
RMSE,test,0.5369664782391858
R2,train,0.8745731711387634
R2,train,0.8872413039207458
R2,train,0.8766891956329346
R2,train,0.8788296580314636
R2,train,0.8849286437034607
R2,train,0.8768278360366821
R2,train,0.8761401176452637
R2,train,0.8692247867584229
R2,train,0.8755590319633484
R2,train,0.8831417560577393
R2,test,0.38873231410980225
R2,test,0.37684231996536255
R2,test,0.4381675124168396
R2,test,0.3966982960700989
R2,test,0.3218485116958618
R2,test,0.4861547350883484
R2,test,0.3941304087638855
R2,test,0.4202720522880554
R2,test,0.3923606872558594
R2,test,0.21770203113555908
MAE,train,0.17238996922969818
MAE,train,0.16414320468902588
MAE,train,0.1707463562488556
MAE,train,0.16946926712989807
MAE,train,0.16726674139499664
MAE,train,0.17262770235538483
MAE,train,0.17252467572689056
MAE,train,0.17600148916244507
MAE,train,0.17462235689163208
MAE,train,0.16700637340545654
MAE,test,0.3877476453781128
MAE,test,0.40771231055259705
MAE,test,0.3980211317539215
MAE,test,0.4056661128997803
MAE,test,0.3984237313270569
MAE,test,0.3504662811756134
MAE,test,0.3821868598461151
MAE,test,0.39927366375923157
MAE,test,0.37428170442581177
MAE,test,0.43180590867996216
