metric,dataset,value
RMSE,train,0.24761660496212481
RMSE,train,0.23948809382384303
RMSE,train,0.2490373345779523
RMSE,train,0.24294281664743106
RMSE,train,0.24840470283478547
RMSE,train,0.24557413769712047
RMSE,train,0.24772221802783512
RMSE,train,0.24681620290001782
RMSE,train,0.2455780438683149
RMSE,train,0.2361020591152246
RMSE,test,0.4787358302815748
RMSE,test,0.5097393745299028
RMSE,test,0.49876394075495484
RMSE,test,0.5101333986921579
RMSE,test,0.5059906778079958
RMSE,test,0.4420874411667443
RMSE,test,0.48829449444928086
RMSE,test,0.5158291325939909
RMSE,test,0.4748923317702821
RMSE,test,0.5477099992222032
R2,train,0.8426426649093628
R2,train,0.8528480529785156
R2,train,0.8389454483985901
R2,train,0.8469778299331665
R2,train,0.8415290117263794
R2,train,0.8459739685058594
R2,train,0.8436380624771118
R2,train,0.8413664102554321
R2,train,0.8464950919151306
R2,train,0.857505202293396
R2,test,0.4039210081100464
R2,test,0.3232381343841553
R2,test,0.41365307569503784
R2,test,0.3800296187400818
R2,test,0.3363138437271118
R2,test,0.46899014711380005
R2,test,0.3313468098640442
R2,test,0.37614667415618896
R2,test,0.3662017583847046
R2,test,0.18608468770980835
MAE,train,0.1949753761291504
MAE,train,0.18817323446273804
MAE,train,0.1961803436279297
MAE,train,0.1916961818933487
MAE,train,0.19698944687843323
MAE,train,0.1939714550971985
MAE,train,0.19525913894176483
MAE,train,0.1947675496339798
MAE,train,0.19336923956871033
MAE,train,0.1863030642271042
MAE,test,0.3847717046737671
MAE,test,0.4182136356830597
MAE,test,0.40188491344451904
MAE,test,0.41287052631378174
MAE,test,0.3962448537349701
MAE,test,0.35334086418151855
MAE,test,0.4041190445423126
MAE,test,0.413793683052063
MAE,test,0.3857985734939575
MAE,test,0.44166573882102966
Fit_time,train,18.942058086395264
Fit_time,train,18.79408097267151
Fit_time,train,18.29803991317749
Fit_time,train,18.516093492507935
Fit_time,train,18.390241384506226
Fit_time,train,18.905900239944458
Fit_time,train,18.40403962135315
Fit_time,train,18.388490200042725
Fit_time,train,18.905895709991455
Fit_time,train,17.198153018951416
Fit_time,test,0.007999897003173828
Fit_time,test,0.006999969482421875
Fit_time,test,0.006999969482421875
Fit_time,test,0.006999969482421875
Fit_time,test,0.006002187728881836
Fit_time,test,0.006999969482421875
Fit_time,test,0.0070002079010009766
Fit_time,test,0.0069997310638427734
Fit_time,test,0.0070002079010009766
Fit_time,test,0.007909297943115234
