metric,dataset,value
RMSE,train,0.5261374055242262
RMSE,train,0.520933024188571
RMSE,train,0.5233026982105984
RMSE,train,0.5214683951430186
RMSE,train,0.5215666858484338
RMSE,train,0.5291848642161088
RMSE,train,0.5275007652569665
RMSE,train,0.5198112849263314
RMSE,train,0.5278007353593661
RMSE,train,0.5214526608872775
RMSE,test,0.5883045974604616
RMSE,test,0.5967180830415693
RMSE,test,0.619043275143238
RMSE,test,0.6130543919825782
RMSE,test,0.5956230879818578
RMSE,test,0.5608656140934833
RMSE,test,0.5537273703506356
RMSE,test,0.6066794823765191
RMSE,test,0.5499552451188796
RMSE,test,0.5813344970379616
R2,train,0.2895624641201797
R2,train,0.3037551687733927
R2,train,0.28886831634152466
R2,train,0.294978680545503
R2,train,0.3013657909812717
R2,train,0.28477338403924335
R2,train,0.2909983287222594
R2,train,0.29637831790628055
R2,train,0.29093965044194825
R2,train,0.3049290351733991
R2,test,0.09984685954969341
R2,test,0.07257689718451732
R2,test,0.09675279730694808
R2,test,0.10463217521720958
R2,test,0.08035377099860208
R2,test,0.14531941537120752
R2,test,0.1401370528275867
R2,test,0.1370424661472972
R2,test,0.15000682234420903
R2,test,0.08308293767217823
MAE,train,0.43298026522228844
MAE,train,0.4278992293241348
MAE,train,0.4311031665618888
MAE,train,0.43105723128202067
MAE,train,0.4295066548250128
MAE,train,0.436245479732258
MAE,train,0.43404986528889444
MAE,train,0.4284480782188121
MAE,train,0.4347402558358733
MAE,train,0.4287709388744812
MAE,test,0.489862892739725
MAE,test,0.5008145684121265
MAE,test,0.5202476104231282
MAE,test,0.5098629146338157
MAE,test,0.4950112280080233
MAE,test,0.47277394583868126
MAE,test,0.47261586290087904
MAE,test,0.5031541381828754
MAE,test,0.45634861175389724
MAE,test,0.4839344789856131
