metric,dataset,value
RMSE,train,0.39165336778865734
RMSE,train,0.392749205879327
RMSE,train,0.39009238877387337
RMSE,train,0.3906074457485596
RMSE,train,0.39123334486064315
RMSE,train,0.39189347187832135
RMSE,train,0.39299790588839745
RMSE,train,0.39252165145629675
RMSE,train,0.39424950398154235
RMSE,train,0.3920179255435214
RMSE,test,0.503676512262017
RMSE,test,0.5190963672280521
RMSE,test,0.5325330013095423
RMSE,test,0.5105225473103869
RMSE,test,0.5078114993632905
RMSE,test,0.4628557714714222
RMSE,test,0.47786519146009415
RMSE,test,0.533428107337883
RMSE,test,0.4813247981416888
RMSE,test,0.5047064215443843
R2,train,0.6063309499845839
R2,train,0.6042427905756121
R2,train,0.6048344885609576
R2,train,0.6044263989082111
R2,train,0.6069010489157924
R2,train,0.6077482427156427
R2,train,0.6064666492999218
R2,train,0.5987869586512011
R2,train,0.604373358132246
R2,train,0.6071640512439893
R2,test,0.3401954372747831
R2,test,0.2981642418358863
R2,test,0.331567345834077
R2,test,0.3790833256545969
R2,test,0.3315286337824853
R2,test,0.4179268377832841
R2,test,0.3596048311898128
R2,test,0.33285136618299915
R2,test,0.34891570786968895
R2,test,0.30887671587166476
MAE,train,0.3166896463115574
MAE,train,0.3173119935864668
MAE,train,0.3146999660809656
MAE,train,0.3159092345717055
MAE,train,0.31703152425118125
MAE,train,0.3177495183409436
MAE,train,0.3177626969631022
MAE,train,0.3160130827827165
MAE,train,0.3187515963331637
MAE,train,0.3162957997857718
MAE,test,0.40869112479989494
MAE,test,0.41618482975472754
MAE,test,0.4375963668876327
MAE,test,0.41508842006661123
MAE,test,0.39606313614700217
MAE,test,0.37263877882381546
MAE,test,0.3915163194931178
MAE,test,0.43403688756311093
MAE,test,0.39502649810701845
MAE,test,0.4085049928133829
