metric,dataset,value
RMSE,train,0.540446563997621
RMSE,train,0.5491826280243407
RMSE,train,0.5326177716645415
RMSE,train,0.5345643104157732
RMSE,train,0.538563179186565
RMSE,train,0.5479759306337919
RMSE,train,0.5393780876416073
RMSE,train,0.536104934606841
RMSE,train,0.5540615095548174
RMSE,train,0.5428408190730626
RMSE,test,0.5437353471995965
RMSE,test,0.529985521811539
RMSE,test,0.5551304458990113
RMSE,test,0.5691885912913958
RMSE,test,0.5642680092296616
RMSE,test,0.5065076054852164
RMSE,test,0.5258830432498892
RMSE,test,0.5734475335015142
RMSE,test,0.5087857530013975
RMSE,test,0.5750677618236464
R2,train,0.25039398670196533
R2,train,0.2261946201324463
R2,train,0.26332587003707886
R2,train,0.25912290811538696
R2,train,0.25509047508239746
R2,train,0.233076810836792
R2,train,0.25871074199676514
R2,train,0.2515764832496643
R2,train,0.21862560510635376
R2,train,0.24674087762832642
R2,test,0.23106956481933594
R2,test,0.268410325050354
R2,test,0.2736354470252991
R2,test,0.2281804084777832
R2,test,0.17463016510009766
R2,test,0.3029592037200928
R2,test,0.2244396209716797
R2,test,0.22899329662322998
R2,test,0.27250397205352783
R2,test,0.10274499654769897
MAE,train,0.4419414699077606
MAE,train,0.44737565517425537
MAE,train,0.43425068259239197
MAE,train,0.4406692087650299
MAE,train,0.43766868114471436
MAE,train,0.447599321603775
MAE,train,0.43895474076271057
MAE,train,0.4386305809020996
MAE,train,0.4556213915348053
MAE,train,0.44686633348464966
MAE,test,0.448963463306427
MAE,test,0.43892404437065125
MAE,test,0.4602501094341278
MAE,test,0.46720436215400696
MAE,test,0.458309143781662
MAE,test,0.4145474135875702
MAE,test,0.4454239010810852
MAE,test,0.4854743182659149
MAE,test,0.41426607966423035
MAE,test,0.47399309277534485
