metric,dataset,value
RMSE,train,0.5796099742038425
RMSE,train,0.577050938253596
RMSE,train,0.5810151158810573
RMSE,train,0.5803399057238899
RMSE,train,0.5813910015908437
RMSE,train,0.5755326426633613
RMSE,train,0.5851715422033976
RMSE,train,0.5721218722764063
RMSE,train,0.5819210997941651
RMSE,train,0.5674123575787685
RMSE,test,0.5919607709793864
RMSE,test,0.5594627716421765
RMSE,test,0.6024755509350461
RMSE,test,0.6381202672171992
RMSE,test,0.580589300398836
RMSE,test,0.5711295141457897
RMSE,test,0.5688695289434229
RMSE,test,0.6046480831340139
RMSE,test,0.5398999219451696
RMSE,test,0.5846043488560323
R2,train,0.13781744241714478
R2,train,0.14566826820373535
R2,train,0.12336474657058716
R2,train,0.1268051266670227
R2,train,0.13190603256225586
R2,train,0.15400314331054688
R2,train,0.1274958848953247
R2,train,0.14763635396957397
R2,train,0.1380711793899536
R2,train,0.17700541019439697
R2,test,0.08862358331680298
R2,test,0.18476665019989014
R2,test,0.14445388317108154
R2,test,0.02991783618927002
R2,test,0.12619245052337646
R2,test,0.11375164985656738
R2,test,0.09246659278869629
R2,test,0.14281189441680908
R2,test,0.18080508708953857
R2,test,0.0727391242980957
MAE,train,0.48327967524528503
MAE,train,0.48631182312965393
MAE,train,0.487789511680603
MAE,train,0.48694971203804016
MAE,train,0.4894436001777649
MAE,train,0.483589768409729
MAE,train,0.489272803068161
MAE,train,0.473162442445755
MAE,train,0.4867757260799408
MAE,train,0.4730866849422455
MAE,test,0.5024428963661194
MAE,test,0.4691477119922638
MAE,test,0.5023128986358643
MAE,test,0.5367007255554199
MAE,test,0.4716017544269562
MAE,test,0.4762832522392273
MAE,test,0.496369332075119
MAE,test,0.5099612474441528
MAE,test,0.43543896079063416
MAE,test,0.4734141230583191
