metric,dataset,value
RMSE,train,0.4141957269696911
RMSE,train,0.4153331631656723
RMSE,train,0.4100884454573747
RMSE,train,0.4169269634751454
RMSE,train,0.41067063554145683
RMSE,train,0.41687365690961486
RMSE,train,0.4155785335437636
RMSE,train,0.41514934609393545
RMSE,train,0.41661612929220176
RMSE,train,0.41550327015222516
RMSE,test,0.5405722698915968
RMSE,test,0.5184599376793386
RMSE,test,0.5710572032138311
RMSE,test,0.5362291056609566
RMSE,test,0.5306838477801591
RMSE,test,0.504635199057284
RMSE,test,0.5108132133795581
RMSE,test,0.5765005082486525
RMSE,test,0.5127333978389915
RMSE,test,0.5279161456694401
R2,train,0.5597100525496892
R2,train,0.5574203681341505
R2,train,0.5632839569411204
R2,train,0.5493221319138499
R2,train,0.5668708029762806
R2,train,0.5561484469991586
R2,train,0.5599446722248721
R2,train,0.5511962026381796
R2,train,0.5582105122010866
R2,train,0.558685432339388
R2,test,0.2399897602715717
R2,test,0.29988413520223667
R2,test,0.2313584925468689
R2,test,0.3149784504172515
R2,test,0.2699552445033597
R2,test,0.308103253202372
R2,test,0.26825207654993877
R2,test,0.22076186451646385
R2,test,0.26117096048500976
R2,test,0.24385035434936053
MAE,train,0.3485819052259639
MAE,train,0.34808755835027266
MAE,train,0.34324662770418235
MAE,train,0.35024027106250494
MAE,train,0.3443865621260567
MAE,train,0.3491851437428655
MAE,train,0.3477917485993662
MAE,train,0.3473669939765368
MAE,train,0.3495343522952705
MAE,train,0.34787634502853715
MAE,test,0.4462959346284465
MAE,test,0.4385187265434018
MAE,test,0.4846982128801315
MAE,test,0.44291591867307406
MAE,test,0.429507461627701
MAE,test,0.42914290691362145
MAE,test,0.4364599687088408
MAE,test,0.4910629710380876
MAE,test,0.4240316277268769
MAE,test,0.4419029948875997
