metric,dataset,value
RMSE,train,0.3750630151826708
RMSE,train,0.37440540595656574
RMSE,train,0.3672596700639397
RMSE,train,0.37514291500078445
RMSE,train,0.3720193894486797
RMSE,train,0.37824834138007446
RMSE,train,0.37837264046478497
RMSE,train,0.377252983752454
RMSE,train,0.38058126667449665
RMSE,train,0.37204914250753407
RMSE,test,0.5188676639462404
RMSE,test,0.5142337490160284
RMSE,test,0.5547385016459657
RMSE,test,0.5278186240070041
RMSE,test,0.5490466935121716
RMSE,test,0.4792045460220119
RMSE,test,0.49545513752475995
RMSE,test,0.5514538478299318
RMSE,test,0.4914335327742939
RMSE,test,0.5446565707968244
R2,train,0.6389760423114668
R2,train,0.6403480449362666
R2,train,0.6497399865810713
R2,train,0.6351286502236438
R2,train,0.6445640833238523
R2,train,0.6345879167055846
R2,train,0.6352120177296485
R2,train,0.629393379565528
R2,train,0.6313298013423828
R2,train,0.6461656536986232
R2,test,0.29979512740459957
R2,test,0.3112515030779148
R2,test,0.27466067571221364
R2,test,0.33629836423942494
R2,test,0.21855879504129938
R2,test,0.37608120649458365
R2,test,0.3115919735524909
R2,test,0.28700061981578473
R2,test,0.32128051513116485
R2,test,0.1951344137708737
MAE,train,0.2974301192783757
MAE,train,0.2987079028045649
MAE,train,0.29228769577582026
MAE,train,0.29922833956091865
MAE,train,0.29614785216335604
MAE,train,0.30154875411487325
MAE,train,0.3010021357195424
MAE,train,0.2994873905391844
MAE,train,0.3035093519915395
MAE,train,0.29612786041049194
MAE,test,0.42171804642319904
MAE,test,0.42401289315188506
MAE,test,0.4554678562056162
MAE,test,0.42832455033157246
MAE,test,0.43203684690590277
MAE,test,0.3886258661790928
MAE,test,0.4131706852071447
MAE,test,0.4563138286871849
MAE,test,0.4006573849134693
MAE,test,0.43108560186741574
Fit_time,train,0.6895081996917725
Fit_time,train,0.6800074577331543
Fit_time,train,0.7364065647125244
Fit_time,train,0.6916170120239258
Fit_time,train,0.6587202548980713
Fit_time,train,0.6801705360412598
Fit_time,train,0.6742753982543945
Fit_time,train,0.670555830001831
Fit_time,train,0.721686601638794
Fit_time,train,0.6672995090484619
Fit_time,test,0.004998922348022461
Fit_time,test,0.00600123405456543
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999637603759766
Fit_time,test,0.005000591278076172
Fit_time,test,0.005002737045288086
Fit_time,test,0.005999565124511719
Fit_time,test,0.006002187728881836
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999637603759766
