metric,dataset,value
RMSE,train,0.2016163504290883
RMSE,train,0.20275100084011913
RMSE,train,0.20223682983405114
RMSE,train,0.2030847609871752
RMSE,train,0.20535358735814022
RMSE,train,0.20502025251942943
RMSE,train,0.20440635283874023
RMSE,train,0.1987668416115586
RMSE,train,0.20186207957001767
RMSE,train,0.19888773465173068
RMSE,test,0.5551352014715711
RMSE,test,0.5563133888651433
RMSE,test,0.5581308324673017
RMSE,test,0.5578211435401502
RMSE,test,0.5377166171731251
RMSE,test,0.5112256866143066
RMSE,test,0.5201618374693638
RMSE,test,0.5971231011694024
RMSE,test,0.5417849666056039
RMSE,test,0.5682629418268095
R2,train,0.8956772469051616
R2,train,0.8945311483853775
R2,train,0.8937902031240218
R2,train,0.8930696623516969
R2,train,0.8916984311808921
R2,train,0.8926449773548826
R2,train,0.8935391695648573
R2,train,0.8971188807772263
R2,train,0.8962823413015152
R2,train,0.8988850495139582
R2,test,0.19848906730649618
R2,test,0.19391927407454734
R2,test,0.2657623770442382
R2,test,0.2587010056406388
R2,test,0.25047752120224553
R2,test,0.2899130315153494
R2,test,0.24122288190033636
R2,test,0.16401486332134174
R2,test,0.17507466217742784
R2,test,0.12385389536959046
MAE,train,0.16097197386154877
MAE,train,0.16178253647567797
MAE,train,0.16080059317295495
MAE,train,0.16238743748204565
MAE,train,0.1645948312728544
MAE,train,0.16496573778741697
MAE,train,0.1631391860897649
MAE,train,0.15806871821218532
MAE,train,0.16055560643790412
MAE,train,0.1584904918476721
MAE,test,0.4613275933886037
MAE,test,0.4712650745975037
MAE,test,0.47047703860308204
MAE,test,0.46723082830084645
MAE,test,0.42915722644546656
MAE,test,0.4223718373060998
MAE,test,0.4446751885082776
MAE,test,0.5000423589116381
MAE,test,0.4528335742958861
MAE,test,0.4756225988274735
