metric,dataset,value
RMSE,train,0.3313949539094636
RMSE,train,0.322869107228666
RMSE,train,0.3239109008897844
RMSE,train,0.3297011766605174
RMSE,train,0.32801094416916704
RMSE,train,0.33577693297237715
RMSE,train,0.32703272124172544
RMSE,train,0.33060211630277536
RMSE,train,0.3299315547131028
RMSE,train,0.3273216827217098
RMSE,test,0.4803218775816
RMSE,test,0.5151367130585256
RMSE,test,0.509392716224645
RMSE,test,0.510983920804362
RMSE,test,0.5275389533562768
RMSE,test,0.46451615971148946
RMSE,test,0.480811517600825
RMSE,test,0.5150650104962794
RMSE,test,0.45607763577662364
RMSE,test,0.5383971677131351
R2,train,0.7181491662040906
R2,train,0.732544711660996
R2,train,0.7275447326380691
R2,train,0.7181699744548032
R2,train,0.7236834942383523
R2,train,0.7120410671269595
R2,train,0.7274893452562057
R2,train,0.7153841610010381
R2,train,0.7229290935192361
R2,train,0.7261271876021013
R2,test,0.39996490420401853
R2,test,0.3088305762082887
R2,test,0.38839635288915453
R2,test,0.3779605390332266
R2,test,0.27858226702946287
R2,test,0.41374324115343
R2,test,0.3516836445107958
R2,test,0.377993524364581
R2,test,0.4154276137959718
R2,test,0.2135277618307112
MAE,train,0.259546122254522
MAE,train,0.25128305335493895
MAE,train,0.2530086680784054
MAE,train,0.2575312239578829
MAE,train,0.25665280263228313
MAE,train,0.26167175557573896
MAE,train,0.2547378819835311
MAE,train,0.2575582592153985
MAE,train,0.258095057835361
MAE,train,0.2552974632172847
MAE,test,0.3768445015543472
MAE,test,0.41530750165564034
MAE,test,0.40681680834358486
MAE,test,0.3908626883126046
MAE,test,0.40805636035222914
MAE,test,0.36737458556494357
MAE,test,0.38329391630192483
MAE,test,0.41154037513903824
MAE,test,0.35740881109710787
MAE,test,0.42044468316578554
Fit_time,train,0.8576841354370117
Fit_time,train,0.8428070545196533
Fit_time,train,0.850726842880249
Fit_time,train,0.8358798027038574
Fit_time,train,0.8059992790222168
Fit_time,train,0.8260769844055176
Fit_time,train,0.833052396774292
Fit_time,train,0.8408491611480713
Fit_time,train,0.8297507762908936
Fit_time,train,0.830690860748291
Fit_time,test,0.00500035285949707
Fit_time,test,0.004002809524536133
Fit_time,test,0.003999948501586914
Fit_time,test,0.0049991607666015625
Fit_time,test,0.005000591278076172
Fit_time,test,0.004999876022338867
Fit_time,test,0.004000186920166016
Fit_time,test,0.00500035285949707
Fit_time,test,0.004999637603759766
Fit_time,test,0.005000114440917969
