metric,dataset,value
RMSE,train,0.3001173035777563
RMSE,train,0.30037514192575127
RMSE,train,0.2977737395243619
RMSE,train,0.29951640945623353
RMSE,train,0.30345515657318095
RMSE,train,0.30256232625390933
RMSE,train,0.2961154454850207
RMSE,train,0.2963237280207252
RMSE,train,0.3018348207388872
RMSE,train,0.29527872438125596
RMSE,test,0.5261117306654484
RMSE,test,0.5642338473438
RMSE,test,0.5774790447609508
RMSE,test,0.559068355960754
RMSE,test,0.538636013474548
RMSE,test,0.4940675674862593
RMSE,test,0.510983396951875
RMSE,test,0.5731652225732234
RMSE,test,0.5046322778707193
RMSE,test,0.5557954893636654
R2,train,0.768841635427534
R2,train,0.768513226392733
R2,train,0.7697408641575403
R2,train,0.7674118911282558
R2,train,0.7635065029612097
R2,train,0.7661924447275095
R2,train,0.7765794108168648
R2,train,0.7713450202002712
R2,train,0.7681100650853574
R2,train,0.7771238057514362
R2,test,0.28010710545501705
R2,test,0.17080288461604576
R2,test,0.2139737246510588
R2,test,0.2553824118001473
R2,test,0.24791223942812846
R2,test,0.3367780352354889
R2,test,0.2677644140660168
R2,test,0.22975219038831696
R2,test,0.2843333247788741
R2,test,0.16187672838646971
MAE,train,0.23055467665622867
MAE,train,0.2291480359238088
MAE,train,0.22672205542701435
MAE,train,0.2318771133737447
MAE,train,0.23243786549341602
MAE,train,0.23298930967657613
MAE,train,0.2269962978605019
MAE,train,0.22700936137337838
MAE,train,0.2325463957562661
MAE,train,0.22747400326060116
MAE,test,0.4331045971166616
MAE,test,0.4694663670647754
MAE,test,0.48035612562716595
MAE,test,0.4610607427995181
MAE,test,0.42464622175127786
MAE,test,0.405471855384197
MAE,test,0.42749840277440343
MAE,test,0.47836087127286747
MAE,test,0.4186564044892818
MAE,test,0.46136510219787
Fit_time,train,4.867071628570557
Fit_time,train,5.776737689971924
Fit_time,train,5.480895757675171
Fit_time,train,5.166898250579834
Fit_time,train,5.347431898117065
Fit_time,train,5.707019567489624
Fit_time,train,5.242170095443726
Fit_time,train,5.080916166305542
Fit_time,train,5.096003293991089
Fit_time,train,4.9383463859558105
Fit_time,test,0.008004903793334961
Fit_time,test,0.010004520416259766
Fit_time,test,0.008508920669555664
Fit_time,test,0.009510278701782227
Fit_time,test,0.009003400802612305
Fit_time,test,0.009000062942504883
Fit_time,test,0.008513212203979492
Fit_time,test,0.008001565933227539
Fit_time,test,0.00800013542175293
Fit_time,test,0.007999897003173828
