metric,dataset,value
RMSE,train,0.36717764669199504
RMSE,train,0.37325959057066277
RMSE,train,0.37081885274017157
RMSE,train,0.3632139212929102
RMSE,train,0.3680505572119073
RMSE,train,0.3635332690935391
RMSE,train,0.36398373192416356
RMSE,train,0.36812814662632726
RMSE,train,0.365581799257767
RMSE,train,0.36587172960874786
RMSE,test,0.5279433106423613
RMSE,test,0.4925097316964176
RMSE,test,0.5213702314661743
RMSE,test,0.5240129783576654
RMSE,test,0.5198511483243721
RMSE,test,0.467370356719582
RMSE,test,0.48167728996607173
RMSE,test,0.5263717929228928
RMSE,test,0.47035968097540914
RMSE,test,0.5371570390571849
R2,train,0.6539968842823297
R2,train,0.6425460055317564
R2,train,0.6429182188641496
R2,train,0.6579644578426176
R2,train,0.6521074578294993
R2,train,0.6624662818502509
R2,train,0.6624290873293115
R2,train,0.6471047155592955
R2,train,0.6598172008168883
R2,train,0.6578180647489857
R2,test,0.27508597976104066
R2,test,0.36821524086954327
R2,test,0.3592965440495055
R2,test,0.34583462308225776
R2,test,0.2994554448422089
R2,test,0.40651665502236056
R2,test,0.34934676317247737
R2,test,0.3503850272676279
R2,test,0.37824266512849336
R2,test,0.2171466645597232
MAE,train,0.29422170916079854
MAE,train,0.29627148380795854
MAE,train,0.29676627412463025
MAE,train,0.2895687631117146
MAE,train,0.2940197077428874
MAE,train,0.28977260690432305
MAE,train,0.2884973951351161
MAE,train,0.29256849484915665
MAE,train,0.29163934722637797
MAE,train,0.2919720098817612
MAE,test,0.422634255926163
MAE,test,0.3982840522498714
MAE,test,0.42216424588639834
MAE,test,0.4206976167628834
MAE,test,0.4078497443251255
MAE,test,0.37556431796860923
MAE,test,0.4015271466906279
MAE,test,0.42529805129493364
MAE,test,0.38122955118095103
MAE,test,0.4306623251097666
