metric,dataset,value
RMSE,train,0.4642462752399534
RMSE,train,0.4643419846247571
RMSE,train,0.46631559283602037
RMSE,train,0.468814597286681
RMSE,train,0.4700676999138039
RMSE,train,0.4735400539696853
RMSE,train,0.4713579306643193
RMSE,train,0.469552904508255
RMSE,train,0.4744271196910569
RMSE,train,0.4730277442564472
RMSE,test,0.6028032189407863
RMSE,test,0.601161186925391
RMSE,test,0.5755784921004679
RMSE,test,0.6044707517293558
RMSE,test,0.5780054011855643
RMSE,test,0.5578101459792965
RMSE,test,0.5332269789924339
RMSE,test,0.6080998424967602
RMSE,test,0.538613071035027
RMSE,test,0.574815400100549
R2,train,0.4468735870277042
R2,train,0.4468102680103345
R2,train,0.43531798454020043
R2,train,0.43016579181729153
R2,train,0.4325194510989734
R2,train,0.4272800937624276
R2,train,0.43388754746051894
R2,train,0.42586123725990255
R2,train,0.42709550225501747
R2,train,0.42803085787285267
R2,test,0.05493203549548886
R2,test,0.058714477940711496
R2,test,0.21913902395077434
R2,test,0.1295295131586517
R2,test,0.13395284352963643
R2,test,0.15460626027057411
R2,test,0.20262707945420955
R2,test,0.13299701769880623
R2,test,0.1847054853763639
R2,test,0.10353228482415933
MAE,train,0.3807931181426985
MAE,train,0.3802062123601816
MAE,train,0.3833523859160775
MAE,train,0.38522131568259443
MAE,train,0.38738612975593195
MAE,train,0.38891651183654424
MAE,train,0.386404485037851
MAE,train,0.38495959454690803
MAE,train,0.3898876603065936
MAE,train,0.38726140182973634
MAE,test,0.49802903876649673
MAE,test,0.49807108905632985
MAE,test,0.4776571793301654
MAE,test,0.5015745283354972
MAE,test,0.46106935798301807
MAE,test,0.46958241109412224
MAE,test,0.4534291554553948
MAE,test,0.506376841573777
MAE,test,0.44893541675293913
MAE,test,0.4744897408063814
Fit_time,train,0.652479887008667
Fit_time,train,0.6523685455322266
Fit_time,train,0.6567027568817139
Fit_time,train,0.6163551807403564
Fit_time,train,0.6346104145050049
Fit_time,train,0.6045293807983398
Fit_time,train,0.6297805309295654
Fit_time,train,0.6104762554168701
Fit_time,train,0.6185441017150879
Fit_time,train,0.6525061130523682
Fit_time,test,0.0050008296966552734
Fit_time,test,0.005156278610229492
Fit_time,test,0.003999948501586914
Fit_time,test,0.0049991607666015625
Fit_time,test,0.004999876022338867
Fit_time,test,0.004000186920166016
Fit_time,test,0.004000425338745117
Fit_time,test,0.004999637603759766
Fit_time,test,0.005000591278076172
Fit_time,test,0.003999948501586914
