metric,dataset,value
RMSE,train,0.31459644641960177
RMSE,train,0.31112367746157515
RMSE,train,0.30598956775460856
RMSE,train,0.3068609355749577
RMSE,train,0.31166976380097744
RMSE,train,0.31057850854608404
RMSE,train,0.3090355859722878
RMSE,train,0.3045585989224964
RMSE,train,0.31285879180688303
RMSE,train,0.3123671939446505
RMSE,test,0.519137058275989
RMSE,test,0.5569262654512517
RMSE,test,0.5450694674355265
RMSE,test,0.5618326032720891
RMSE,test,0.5493229097364241
RMSE,test,0.4919952768168035
RMSE,test,0.5171912854115004
RMSE,test,0.5579068386383715
RMSE,test,0.52790965254832
RMSE,test,0.5739267675035338
R2,train,0.7459991518320608
R2,train,0.7516499047588517
R2,train,0.7568594914179927
R2,train,0.7558653206004484
R2,train,0.7505293242790959
R2,train,0.7536391806425311
R2,train,0.7566574498547091
R2,train,0.7584597350948699
R2,train,0.7508620158370691
R2,train,0.7505806151608034
R2,test,0.2990678506679856
R2,test,0.19214221767974615
R2,test,0.29972549421143835
R2,test,0.248000861146353
R2,test,0.2177723372186573
R2,test,0.3423299331874565
R2,test,0.24986461878992172
R2,test,0.2702162659467723
R2,test,0.21678688906468258
R2,test,0.10630192064322264
MAE,train,0.25486134900796287
MAE,train,0.2506052270815611
MAE,train,0.24627850123710024
MAE,train,0.2477552854659724
MAE,train,0.2526227327496437
MAE,train,0.25208641641882396
MAE,train,0.24906403511643738
MAE,train,0.24470159359492072
MAE,train,0.2517280741214375
MAE,train,0.25193512997953205
MAE,test,0.4153977141511417
MAE,test,0.46598855256962696
MAE,test,0.44877287141072797
MAE,test,0.44874122377510445
MAE,test,0.4416770868921496
MAE,test,0.40550077980574817
MAE,test,0.4295315909995291
MAE,test,0.45860426294412243
MAE,test,0.43832834426274236
MAE,test,0.46909844413804397
Fit_time,train,1.9932146072387695
Fit_time,train,1.9831056594848633
Fit_time,train,1.9552581310272217
Fit_time,train,1.9487085342407227
Fit_time,train,1.8675591945648193
Fit_time,train,1.9048168659210205
Fit_time,train,1.9045896530151367
Fit_time,train,1.9088869094848633
Fit_time,train,1.8662855625152588
Fit_time,train,1.9654316902160645
Fit_time,test,0.004999637603759766
Fit_time,test,0.0060002803802490234
Fit_time,test,0.005000114440917969
Fit_time,test,0.005000591278076172
Fit_time,test,0.0050771236419677734
Fit_time,test,0.005003213882446289
Fit_time,test,0.003999471664428711
Fit_time,test,0.003998756408691406
Fit_time,test,0.005000114440917969
Fit_time,test,0.0050029754638671875
